ticker,company,market,meeting_type,run_no,status,elapsed,agenda,for,against,review,candidates
005930,삼성전자,KOSPI,annual,1,exact,13.2,10,7,0,3,9
005930,삼성전자,KOSPI,annual,2,exact,7.1,10,7,0,3,9
005930,삼성전자,KOSPI,annual,3,exact,6.8,10,7,0,3,9
000660,SK하이닉스,KOSPI,annual,1,exact,4.5,4,2,0,2,2
000660,SK하이닉스,KOSPI,annual,2,exact,4.9,4,2,0,2,2
000660,SK하이닉스,KOSPI,annual,3,exact,5.0,4,2,0,2,2
005380,현대차,KOSPI,annual,1,exact,6.0,10,3,0,7,7
005380,현대차,KOSPI,annual,2,exact,5.7,10,3,0,7,7
005380,현대차,KOSPI,annual,3,exact,5.5,10,3,0,7,7
373220,LG에너지솔루션,KOSPI,annual,1,exact,4.2,5,1,0,4,2
373220,LG에너지솔루션,KOSPI,annual,2,exact,3.0,5,1,0,4,2
373220,LG에너지솔루션,KOSPI,annual,3,exact,3.3,5,1,0,4,2
402340,SK스퀘어,KOSPI,annual,1,exact,11.7,6,1,0,5,3
402340,SK스퀘어,KOSPI,annual,2,exact,12.7,6,1,0,5,3
402340,SK스퀘어,KOSPI,annual,3,exact,16.3,6,1,0,5,3
207940,삼성바이오로직스,KOSPI,annual,1,exact,16.8,8,1,0,7,5
207940,삼성바이오로직스,KOSPI,annual,2,exact,12.2,8,1,0,7,5
207940,삼성바이오로직스,KOSPI,annual,3,exact,7.9,8,1,0,7,5
012450,한화에어로스페이스,KOSPI,annual,1,exact,10.0,10,1,0,9,0
012450,한화에어로스페이스,KOSPI,annual,2,exact,9.8,10,1,0,9,0
012450,한화에어로스페이스,KOSPI,annual,3,exact,9.8,10,1,0,9,0
034020,두산에너빌리티,KOSPI,annual,1,exact,9.1,6,3,0,3,3
034020,두산에너빌리티,KOSPI,annual,2,exact,8.8,6,3,0,3,3
034020,두산에너빌리티,KOSPI,annual,3,exact,6.5,6,3,0,3,3
000270,기아,KOSPI,annual,1,exact,5.9,8,1,0,7,4
000270,기아,KOSPI,annual,2,exact,7.1,8,1,0,7,4
000270,기아,KOSPI,annual,3,exact,5.5,8,1,0,7,4
105560,KB금융,KOSPI,annual,1,exact,32.3,10,2,0,8,9
105560,KB금융,KOSPI,annual,2,exact,6.5,10,2,0,8,9
105560,KB금융,KOSPI,annual,3,exact,6.6,10,2,0,8,9
329180,HD현대중공업,KOSPI,annual,1,exact,5.0,3,1,0,2,2
329180,HD현대중공업,KOSPI,annual,2,exact,4.3,3,1,0,2,2
329180,HD현대중공업,KOSPI,annual,3,exact,4.3,3,1,0,2,2
028260,삼성물산,KOSPI,annual,1,exact,5.0,7,1,0,6,0
028260,삼성물산,KOSPI,annual,2,exact,6.0,7,1,0,6,0
028260,삼성물산,KOSPI,annual,3,exact,4.9,7,1,0,6,0
032830,삼성생명,KOSPI,annual,1,exact,8.1,10,5,0,5,8
032830,삼성생명,KOSPI,annual,2,exact,8.3,10,5,0,5,8
032830,삼성생명,KOSPI,annual,3,exact,8.8,10,5,0,5,8
068270,셀트리온,KOSPI,annual,1,exact,4.7,5,1,0,4,0
068270,셀트리온,KOSPI,annual,2,exact,5.0,5,1,0,4,0
068270,셀트리온,KOSPI,annual,3,exact,5.1,5,1,0,4,0
055550,신한지주,KOSPI,annual,1,exact,7.3,10,2,0,8,11
055550,신한지주,KOSPI,annual,2,exact,7.3,10,2,0,8,11
055550,신한지주,KOSPI,annual,3,exact,7.4,10,2,0,8,11
042660,한화오션,KOSPI,annual,1,exact,14.7,10,3,0,7,10
042660,한화오션,KOSPI,annual,2,exact,13.7,10,3,0,7,10
042660,한화오션,KOSPI,annual,3,exact,12.2,10,3,0,7,10
012330,현대모비스,KOSPI,annual,1,exact,23.9,9,2,0,7,4
012330,현대모비스,KOSPI,annual,2,exact,21.0,9,1,0,8,4
012330,현대모비스,KOSPI,annual,3,exact,15.8,9,1,0,8,4
006800,M레거시증권,KOSPI,annual,1,exact,6.6,10,1,0,9,0
006800,M레거시증권,KOSPI,annual,2,exact,8.7,10,1,0,9,0
006800,M레거시증권,KOSPI,annual,3,exact,8.9,10,1,0,9,0
035420,NAVER,KOSPI,annual,1,exact,4.7,10,1,0,9,0
035420,NAVER,KOSPI,annual,2,exact,4.7,10,1,0,9,0
035420,NAVER,KOSPI,annual,3,exact,4.0,10,1,0,9,0
267260,HD현대일렉트릭,KOSPI,annual,1,exact,4.6,6,1,0,5,3
267260,HD현대일렉트릭,KOSPI,annual,2,exact,4.5,6,1,0,5,3
267260,HD현대일렉트릭,KOSPI,annual,3,exact,4.3,6,1,0,5,3
