ticker,company,market,meeting_type,run_no,status,elapsed_s,agenda,for,against,review,candidates
373220,LG에너지솔루션,KOSPI,annual,1,exact,34.5,5,1,0,4,2
402340,SK스퀘어,KOSPI,annual,1,exact,34.5,6,1,0,5,3
000660,SK하이닉스,KOSPI,annual,1,exact,34.5,4,2,0,2,2
207940,삼성바이오로직스,KOSPI,annual,1,exact,35.4,8,1,0,7,5
207940,삼성바이오로직스,KOSPI,annual,2,exact,17.7,8,1,0,7,5
402340,SK스퀘어,KOSPI,annual,2,exact,23.2,6,1,0,5,3
373220,LG에너지솔루션,KOSPI,annual,2,exact,26.0,5,1,0,4,2
000660,SK하이닉스,KOSPI,annual,2,exact,25.9,4,2,0,2,2
005380,현대차,KOSPI,annual,1,exact,60.4,10,3,0,7,7
005930,삼성전자,KOSPI,annual,1,exact,64.3,10,7,0,3,9
207940,삼성바이오로직스,KOSPI,annual,3,exact,12.0,8,1,0,7,5
005930,삼성전자,KOSPI,annual,2,exact,13.9,10,7,0,3,9
373220,LG에너지솔루션,KOSPI,annual,3,exact,27.6,5,1,0,4,2
000660,SK하이닉스,KOSPI,annual,3,exact,27.6,4,2,0,2,2
402340,SK스퀘어,KOSPI,annual,3,exact,30.4,6,1,0,5,3
005380,현대차,KOSPI,annual,2,exact,27.6,10,3,0,7,7
012450,한화에어로스페이스,KOSPI,annual,1,exact,29.7,10,1,0,9,0
005930,삼성전자,KOSPI,annual,3,exact,17.0,10,7,0,3,9
005380,현대차,KOSPI,annual,3,exact,17.4,10,3,0,7,7
034020,두산에너빌리티,KOSPI,annual,1,exact,23.2,6,3,0,3,3
000270,기아,KOSPI,annual,1,exact,28.2,8,1,0,7,4
012450,한화에어로스페이스,KOSPI,annual,2,exact,21.5,10,1,0,9,0
105560,KB금융,KOSPI,annual,1,exact,30.3,10,2,0,8,9
034020,두산에너빌리티,KOSPI,annual,2,exact,22.9,6,3,0,3,3
105560,KB금융,KOSPI,annual,2,exact,19.8,10,2,0,8,9
000270,기아,KOSPI,annual,2,exact,21.9,8,1,0,7,4
012450,한화에어로스페이스,KOSPI,annual,3,exact,25.5,10,1,0,9,0
329180,HD현대중공업,KOSPI,annual,1,exact,52.2,3,1,0,2,2
028260,삼성물산,KOSPI,annual,1,exact,44.5,7,1,0,6,0
000270,기아,KOSPI,annual,3,exact,20.3,8,1,0,7,4
034020,두산에너빌리티,KOSPI,annual,3,exact,24.4,6,3,0,3,3
105560,KB금융,KOSPI,annual,3,exact,21.6,10,2,0,8,9
032830,삼성생명,KOSPI,annual,1,exact,14.5,10,5,0,5,8
329180,HD현대중공업,KOSPI,annual,2,exact,17.7,3,1,0,2,2
028260,삼성물산,KOSPI,annual,2,exact,19.9,7,1,0,6,0
032830,삼성생명,KOSPI,annual,2,exact,16.0,10,5,0,5,8
068270,셀트리온,KOSPI,annual,1,exact,33.1,5,1,0,4,0
028260,삼성물산,KOSPI,annual,3,exact,25.9,7,1,0,6,0
055550,신한지주,KOSPI,annual,1,exact,36.4,10,2,0,8,11
042660,한화오션,KOSPI,annual,1,exact,36.3,10,3,0,7,10
068270,셀트리온,KOSPI,annual,2,exact,15.2,5,1,0,4,0
032830,삼성생명,KOSPI,annual,3,exact,30.5,10,5,0,5,8
329180,HD현대중공업,KOSPI,annual,3,exact,45.9,3,1,0,2,2
055550,신한지주,KOSPI,annual,2,exact,23.2,10,2,0,8,11
042660,한화오션,KOSPI,annual,2,exact,23.2,10,3,0,7,10
012330,현대모비스,KOSPI,annual,1,exact,27.5,9,2,0,7,4
068270,셀트리온,KOSPI,annual,3,exact,17.2,5,1,0,4,0
006800,M레거시증권,KOSPI,annual,1,exact,41.2,10,1,0,9,0
012330,현대모비스,KOSPI,annual,2,exact,31.0,9,2,0,7,4
042660,한화오션,KOSPI,annual,3,exact,48.2,10,3,0,7,10
035420,NAVER,KOSPI,annual,1,exact,57.9,10,1,0,9,0
267260,HD현대일렉트릭,KOSPI,annual,1,exact,47.4,6,1,0,5,3
035420,NAVER,KOSPI,annual,2,exact,6.2,10,1,0,9,0
006800,M레거시증권,KOSPI,annual,2,exact,25.6,10,1,0,9,0
012330,현대모비스,KOSPI,annual,3,exact,27.8,9,2,0,7,4
055550,신한지주,KOSPI,annual,3,exact,62.9,10,2,0,8,11
009150,삼성전기,KOSPI,annual,1,exact,18.7,7,2,0,5,3
267260,HD현대일렉트릭,KOSPI,annual,2,exact,14.9,6,1,0,5,3
035420,NAVER,KOSPI,annual,3,exact,13.9,10,1,0,9,0
006800,M레거시증권,KOSPI,annual,3,exact,16.7,10,1,0,9,0
015760,한국전력,KOSPI,annual,1,error,0.1,0,0,0,0,0
015760,한국전력,KOSPI,annual,2,error,0.1,0,0,0,0,0
015760,한국전력,KOSPI,annual,3,error,0.1,0,0,0,0,0
010130,고려아연,KOSPI,annual,1,exact,12.3,7,1,0,6,27
009150,삼성전기,KOSPI,annual,2,exact,10.2,7,2,0,5,3
267260,HD현대일렉트릭,KOSPI,annual,3,exact,9.5,6,1,0,5,3
006400,삼성SDI,KOSPI,annual,1,exact,19.2,4,1,0,3,1
086790,하나금융지주,KOSPI,annual,1,exact,18.5,10,1,7,2,11
009150,삼성전기,KOSPI,annual,3,exact,13.2,7,2,0,5,3
010130,고려아연,KOSPI,annual,2,exact,17.0,7,1,0,6,27
006400,삼성SDI,KOSPI,annual,2,exact,14.3,4,1,0,3,1
042700,한미반도체,KOSPI,annual,1,exact,23.8,6,2,0,4,2
005490,POSCO홀딩스,KOSPI,annual,1,exact,26.2,10,4,0,6,7
006400,삼성SDI,KOSPI,annual,3,exact,13.5,4,1,0,3,1
042700,한미반도체,KOSPI,annual,2,exact,13.5,6,2,0,4,2
086790,하나금융지주,KOSPI,annual,2,exact,23.4,10,1,7,2,11
010130,고려아연,KOSPI,annual,3,exact,22.8,7,1,0,6,27
034730,SK,KOSPI,annual,1,error,0.1,0,0,0,0,0
034730,SK,KOSPI,annual,2,error,0.1,0,0,0,0,0
034730,SK,KOSPI,annual,3,error,0.1,0,0,0,0,0
042700,한미반도체,KOSPI,annual,3,exact,7.1,6,2,0,4,2
005490,POSCO홀딩스,KOSPI,annual,2,exact,12.9,10,4,0,6,7
009540,HD한국조선해양,KOSPI,annual,1,exact,30.9,6,1,0,5,3
086790,하나금융지주,KOSPI,annual,3,exact,15.2,10,1,7,2,11
010120,LS ELECTRIC,KOSPI,annual,1,exact,17.5,7,1,0,6,3
005490,POSCO홀딩스,KOSPI,annual,3,exact,15.1,10,4,0,6,7
298040,효성중공업,KOSPI,annual,1,exact,20.4,8,4,0,4,4
010120,LS ELECTRIC,KOSPI,annual,2,exact,10.2,7,1,0,6,3
272210,한화시스템,KOSPI,annual,1,exact,26.8,10,3,0,7,4
316140,우리금융지주,KOSPI,annual,1,exact,19.3,10,1,0,9,8
009540,HD한국조선해양,KOSPI,annual,2,exact,24.4,6,1,0,5,3
298040,효성중공업,KOSPI,annual,2,exact,22.7,8,4,0,4,4
010120,LS ELECTRIC,KOSPI,annual,3,exact,23.3,7,1,0,6,3
000810,삼성화재,KOSPI,annual,1,error,0.1,0,0,0,0,0
000810,삼성화재,KOSPI,annual,2,error,0.1,0,0,0,0,0
000810,삼성화재,KOSPI,annual,3,error,0.1,0,0,0,0,0
010140,삼성중공업,KOSPI,annual,1,exact,29.8,7,4,0,3,3
272210,한화시스템,KOSPI,annual,2,exact,19.0,10,3,0,7,4
316140,우리금융지주,KOSPI,annual,2,exact,16.5,10,1,0,9,8
009540,HD한국조선해양,KOSPI,annual,3,exact,27.3,6,1,0,5,3
010140,삼성중공업,KOSPI,annual,2,exact,13.2,7,4,0,3,3
272210,한화시스템,KOSPI,annual,3,exact,13.0,10,3,0,7,4
316140,우리금융지주,KOSPI,annual,3,exact,14.2,10,1,0,9,8
298040,효성중공업,KOSPI,annual,3,exact,22.1,8,4,0,4,4
051910,LG화학,KOSPI,annual,1,exact,14.7,10,3,0,7,6
010140,삼성중공업,KOSPI,annual,3,exact,15.9,7,4,0,3,3
035720,카카오,KOSPI,annual,1,exact,30.5,10,1,0,9,5
051910,LG화학,KOSPI,annual,2,exact,18.1,10,3,0,7,6
035720,카카오,KOSPI,annual,2,exact,15.0,10,1,0,9,5
267250,HD현대,KOSPI,annual,1,exact,34.7,4,1,0,3,2
011200,HMM,KOSPI,annual,1,exact,45.4,7,1,3,3,4
064350,현대로템,KOSPI,annual,1,exact,51.6,8,1,0,7,5
024110,기업은행,KOSPI,annual,1,exact,63.4,4,1,0,3,0
011200,HMM,KOSPI,annual,2,exact,21.7,7,1,3,3,4
035720,카카오,KOSPI,annual,3,exact,50.6,10,1,0,9,5
