ticker,company,market,meeting_type,run_no,status,elapsed_s,agenda,for,against,review,candidates
207940,삼성바이오로직스,KOSPI,annual,1,exact,45.6,8,1,0,7,5
207940,삼성바이오로직스,KOSPI,annual,2,exact,7.0,8,1,0,7,5
373220,LG에너지솔루션,KOSPI,annual,1,exact,57.2,5,1,0,4,2
207940,삼성바이오로직스,KOSPI,annual,3,exact,8.8,8,1,0,7,5
373220,LG에너지솔루션,KOSPI,annual,2,exact,5.5,5,1,0,4,2
373220,LG에너지솔루션,KOSPI,annual,3,exact,6.9,5,1,0,4,2
012450,한화에어로스페이스,KOSPI,annual,1,exact,9.2,10,1,0,9,0
012450,한화에어로스페이스,KOSPI,annual,2,exact,10.6,10,1,0,9,0
034020,두산에너빌리티,KOSPI,annual,1,exact,16.2,6,3,0,3,3
005930,삼성전자,KOSPI,annual,1,timeout,90.0,0,0,0,0,0
000660,SK하이닉스,KOSPI,annual,1,timeout,90.0,0,0,0,0,0
005380,현대차,KOSPI,annual,1,timeout,90.0,0,0,0,0,0
402340,SK스퀘어,KOSPI,annual,1,timeout,90.0,0,0,0,0,0
034020,두산에너빌리티,KOSPI,annual,2,exact,8.5,6,3,0,3,3
012450,한화에어로스페이스,KOSPI,annual,3,exact,20.0,10,1,0,9,0
000660,SK하이닉스,KOSPI,annual,2,exact,18.5,4,2,0,2,2
402340,SK스퀘어,KOSPI,annual,2,exact,27.9,6,1,0,5,3
005930,삼성전자,KOSPI,annual,2,exact,28.1,10,7,0,3,9
000660,SK하이닉스,KOSPI,annual,3,exact,19.1,4,2,0,2,2
402340,SK스퀘어,KOSPI,annual,3,exact,12.5,6,1,0,5,3
005930,삼성전자,KOSPI,annual,3,exact,14.7,10,7,0,3,9
034020,두산에너빌리티,KOSPI,annual,3,exact,39.4,6,3,0,3,3
005380,현대차,KOSPI,annual,2,exact,50.8,10,3,0,7,7
000270,기아,KOSPI,annual,1,exact,40.4,8,1,0,7,4
105560,KB금융,KOSPI,annual,1,exact,25.5,10,2,0,8,9
329180,HD현대중공업,KOSPI,annual,1,exact,31.8,3,1,0,2,2
028260,삼성물산,KOSPI,annual,1,exact,29.9,7,1,0,6,0
032830,삼성생명,KOSPI,annual,1,exact,31.4,10,5,0,5,8
