ticker,company,market,meeting_type,run_no,status,elapsed_s,canonical_name,agenda_count,for_count,against_count,review_count,candidates_count,revenue_krw,roe_pct,debt_ratio_pct,capital_impairment_status,audit_opinion_latest,score_for_pct,score_against_pct,score_review_pct,warnings_first
005930,삼성전자,KOSPI,annual,1,exact,22.7,삼성전자,10,7,0,3,9,333605938000000,10.56,29.94,normal,,70.0,0.0,30.0,
006800,M레거시증권,KOSPI,annual,2,exact,26.3,M레거시증권,10,1,0,9,0,29283028000000,12.3,1015.01,normal,,10.0,0.0,90.0,
066430,아이로보틱스,KOSDAQ,extraordinary,3,exact,31.7,아이로보틱스,10,0,0,10,0,36426291956,3.93,15.88,normal,,0.0,0.0,100.0,
207940,삼성바이오로직스,KOSPI,annual,3,exact,34.7,삼성바이오로직스,8,1,0,7,5,4556971695180,19.38,48.44,normal,,12.5,0.0,87.5,
028260,삼성물산,KOSPI,annual,3,exact,35.9,삼성물산,7,1,0,6,0,40742240967149,40.72,50.5,normal,,14.3,0.0,85.7,
000250,삼천당제약,KOSDAQ,annual,1,exact,42.4,삼천당제약,8,3,0,5,3,231805277738,3.37,54.36,normal,,37.5,0.0,62.5,
006800,M레거시증권,KOSPI,annual,3,exact,11.8,M레거시증권,10,1,0,9,0,29283028000000,12.3,1015.01,normal,,10.0,0.0,90.0,
086790,하나금융지주,KOSPI,annual,2,exact,22.0,하나금융지주,10,1,7,2,11,,8.8,1377.89,normal,,10.0,70.0,20.0,
299660,셀리드,KOSDAQ,extraordinary,3,no_filing,15.6,셀리드,0,0,0,0,0,8841828282,-19.25,49.41,normal,,0,0,0,
000250,삼천당제약,KOSDAQ,annual,2,exact,11.1,삼천당제약,8,3,0,5,3,231805277738,3.37,54.36,normal,,37.5,0.0,62.5,
012450,한화에어로스페이스,KOSPI,annual,1,exact,28.7,한화에어로스페이스,10,1,0,9,0,26702901249000,15.64,221.38,normal,,10.0,0.0,90.0,
087010,펩트론,KOSDAQ,annual,1,exact,38.5,펩트론,10,1,0,9,0,5634817675,-9.41,26.03,normal,,10.0,0.0,90.0,
005930,삼성전자,KOSPI,annual,2,exact,17.2,삼성전자,10,7,0,3,9,333605938000000,10.56,29.94,normal,,70.0,0.0,30.0,
459510,나우로보틱스,KOSDAQ,extraordinary,1,exact,23.7,나우로보틱스,1,0,0,1,0,12526033167,-51.5,98.01,normal,,0.0,0.0,100.0,
086790,하나금융지주,KOSPI,annual,3,exact,17.9,하나금융지주,10,1,7,2,11,,8.8,1377.89,normal,,10.0,70.0,20.0,
032830,삼성생명,KOSPI,annual,1,exact,29.1,삼성생명,10,5,0,5,8,,5.02,440.89,normal,,50.0,0.0,50.0,
304100,솔트룩스,KOSDAQ,extraordinary,1,no_filing,14.5,솔트룩스,0,0,0,0,0,41635622271,-14.82,44.38,normal,,0,0,0,
087010,펩트론,KOSDAQ,annual,2,exact,16.9,펩트론,10,1,0,9,0,5634817675,-9.41,26.03,normal,,10.0,0.0,90.0,
012450,한화에어로스페이스,KOSPI,annual,2,exact,19.9,한화에어로스페이스,10,1,0,9,0,26702901249000,15.64,221.38,normal,,10.0,0.0,90.0,
035420,NAVER,KOSPI,annual,1,exact,24.2,NAVER,10,1,0,9,0,12035007218975,7.46,41.9,normal,,10.0,0.0,90.0,
000250,삼천당제약,KOSDAQ,annual,3,exact,24.2,삼천당제약,8,3,0,5,3,231805277738,3.37,54.36,normal,,37.5,0.0,62.5,
032830,삼성생명,KOSPI,annual,2,exact,16.9,삼성생명,10,4,0,6,8,,,,,,40.0,0.0,60.0,
192250,케이사인,KOSDAQ,extraordinary,1,no_filing,23.3,케이사인,0,0,0,0,0,,1.83,62.07,normal,,0,0,0,
005930,삼성전자,KOSPI,annual,3,exact,33.1,삼성전자,10,7,0,3,9,333605938000000,10.56,29.94,normal,,70.0,0.0,30.0,
141080,리가켐바이오,KOSDAQ,annual,2,exact,37.0,리가켐바이오,8,1,0,7,1,141553069341,-15.82,29.7,normal,,12.5,0.0,87.5,
055550,신한지주,KOSPI,annual,2,exact,38.6,신한지주,10,2,0,8,11,,7.25,1201.94,normal,,20.0,0.0,80.0,
