ticker,company,market,run_no,status,elapsed_s,major_count,treasury_pct
000660,SK하이닉스,KOSPI,1,exact,1.2,0,0
005930,삼성전자,KOSPI,1,exact,1.2,0,0
005380,현대차,KOSPI,1,exact,1.3,0,0
000660,SK하이닉스,KOSPI,2,exact,1.1,0,0
005380,현대차,KOSPI,2,exact,1.2,0,0
005930,삼성전자,KOSPI,2,exact,1.3,0,0
000660,SK하이닉스,KOSPI,3,exact,1.0,0,0
005380,현대차,KOSPI,3,exact,1.1,0,0
005930,삼성전자,KOSPI,3,exact,1.4,0,0
373220,LG에너지솔루션,KOSPI,1,exact,1.0,0,0
402340,SK스퀘어,KOSPI,1,exact,1.1,0,0
207940,삼성바이오로직스,KOSPI,1,exact,1.0,0,0
373220,LG에너지솔루션,KOSPI,2,exact,1.0,0,0
402340,SK스퀘어,KOSPI,2,exact,1.1,0,0
207940,삼성바이오로직스,KOSPI,2,exact,1.0,0,0
373220,LG에너지솔루션,KOSPI,3,exact,1.1,0,0
402340,SK스퀘어,KOSPI,3,exact,1.1,0,0
207940,삼성바이오로직스,KOSPI,3,exact,1.1,0,0
012450,한화에어로스페이스,KOSPI,1,exact,1.1,0,0
000270,기아,KOSPI,1,exact,1.0,0,0
034020,두산에너빌리티,KOSPI,1,exact,1.3,0,0
012450,한화에어로스페이스,KOSPI,2,exact,1.1,0,0
000270,기아,KOSPI,2,exact,1.1,0,0
034020,두산에너빌리티,KOSPI,2,exact,1.2,0,0
012450,한화에어로스페이스,KOSPI,3,exact,1.2,0,0
000270,기아,KOSPI,3,exact,1.2,0,0
034020,두산에너빌리티,KOSPI,3,exact,1.2,0,0
105560,KB금융,KOSPI,1,exact,1.2,0,0
329180,HD현대중공업,KOSPI,1,exact,1.4,0,0
028260,삼성물산,KOSPI,1,exact,1.2,0,0
105560,KB금융,KOSPI,2,exact,1.2,0,0
028260,삼성물산,KOSPI,2,exact,1.2,0,0
329180,HD현대중공업,KOSPI,2,exact,1.3,0,0
105560,KB금융,KOSPI,3,exact,1.2,0,0
028260,삼성물산,KOSPI,3,exact,1.3,0,0
329180,HD현대중공업,KOSPI,3,exact,1.3,0,0
032830,삼성생명,KOSPI,1,exact,1.2,0,0
055550,신한지주,KOSPI,1,exact,1.1,0,0
068270,셀트리온,KOSPI,1,exact,1.4,0,0
032830,삼성생명,KOSPI,2,exact,1.2,0,0
055550,신한지주,KOSPI,2,exact,1.2,0,0
032830,삼성생명,KOSPI,3,exact,1.1,0,0
068270,셀트리온,KOSPI,2,exact,1.5,0,0
055550,신한지주,KOSPI,3,exact,1.2,0,0
042660,한화오션,KOSPI,1,exact,1.0,0,0
068270,셀트리온,KOSPI,3,exact,1.5,0,0
012330,현대모비스,KOSPI,1,exact,1.2,0,0
042660,한화오션,KOSPI,2,exact,1.2,0,0
006800,M레거시증권,KOSPI,1,exact,1.3,0,0
012330,현대모비스,KOSPI,2,exact,1.2,0,0
042660,한화오션,KOSPI,3,exact,1.2,0,0
006800,M레거시증권,KOSPI,2,exact,1.3,0,0
012330,현대모비스,KOSPI,3,exact,1.1,0,0
035420,NAVER,KOSPI,1,exact,1.1,0,0
035420,NAVER,KOSPI,2,exact,1.0,0,0
267260,HD현대일렉트릭,KOSPI,1,exact,1.2,0,0
006800,M레거시증권,KOSPI,3,exact,1.4,0,0
035420,NAVER,KOSPI,3,exact,1.2,0,0
267260,HD현대일렉트릭,KOSPI,2,exact,1.3,0,0
009150,삼성전기,KOSPI,1,exact,1.1,0,0
009150,삼성전기,KOSPI,2,exact,1.1,0,0
010130,고려아연,KOSPI,1,exact,1.3,0,0
267260,HD현대일렉트릭,KOSPI,3,exact,1.2,0,0
009150,삼성전기,KOSPI,3,exact,1.2,0,0
006400,삼성SDI,KOSPI,1,exact,1.1,0,0
010130,고려아연,KOSPI,2,exact,1.3,0,0
086790,하나금융지주,KOSPI,1,exact,1.2,0,0
006400,삼성SDI,KOSPI,2,exact,1.2,0,0
010130,고려아연,KOSPI,3,exact,1.1,0,0
015760,한국전력,KOSPI,1,error,0.1,0,0
015760,한국전력,KOSPI,2,error,0.1,0,0
015760,한국전력,KOSPI,3,error,0.1,0,0
086790,하나금융지주,KOSPI,2,exact,1.5,0,0
006400,삼성SDI,KOSPI,3,exact,1.5,0,0
042700,한미반도체,KOSPI,1,exact,1.2,0,0
086790,하나금융지주,KOSPI,3,exact,1.2,0,0
005490,POSCO홀딩스,KOSPI,1,exact,1.2,0,0
042700,한미반도체,KOSPI,2,exact,1.2,0,0
005490,POSCO홀딩스,KOSPI,2,exact,1.1,0,0
042700,한미반도체,KOSPI,3,exact,1.1,0,0
009540,HD한국조선해양,KOSPI,1,exact,1.7,0,0
005490,POSCO홀딩스,KOSPI,3,exact,1.2,0,0
010120,LS ELECTRIC,KOSPI,1,exact,1.1,0,0
009540,HD한국조선해양,KOSPI,2,exact,1.8,0,0
010120,LS ELECTRIC,KOSPI,2,exact,1.1,0,0
034730,SK,KOSPI,1,exact,1.3,0,0
010120,LS ELECTRIC,KOSPI,3,exact,1.1,0,0
034730,SK,KOSPI,2,exact,1.2,0,0
009540,HD한국조선해양,KOSPI,3,exact,1.7,0,0
298040,효성중공업,KOSPI,1,exact,1.2,0,0
034730,SK,KOSPI,3,exact,1.2,0,0
272210,한화시스템,KOSPI,1,exact,1.2,0,0
298040,효성중공업,KOSPI,2,exact,1.2,0,0
316140,우리금융지주,KOSPI,1,exact,1.1,0,0
272210,한화시스템,KOSPI,2,exact,1.2,0,0
298040,효성중공업,KOSPI,3,exact,1.2,0,0
316140,우리금융지주,KOSPI,2,exact,1.2,0,0
272210,한화시스템,KOSPI,3,exact,1.2,0,0
000810,삼성화재,KOSPI,1,error,0.2,0,0
000810,삼성화재,KOSPI,2,error,0.1,0,0
000810,삼성화재,KOSPI,3,error,0.1,0,0
010140,삼성중공업,KOSPI,1,exact,1.5,0,0
316140,우리금융지주,KOSPI,3,exact,1.5,0,0
035720,카카오,KOSPI,1,exact,1.4,0,0
051910,LG화학,KOSPI,1,exact,1.2,0,0
010140,삼성중공업,KOSPI,2,exact,1.3,0,0
035720,카카오,KOSPI,2,exact,1.3,0,0
051910,LG화학,KOSPI,2,exact,1.2,0,0
010140,삼성중공업,KOSPI,3,exact,1.1,0,0
035720,카카오,KOSPI,3,exact,1.2,0,0
051910,LG화학,KOSPI,3,exact,1.2,0,0
267250,HD현대,KOSPI,1,exact,1.2,0,0
011200,HMM,KOSPI,1,exact,1.1,0,0
024110,기업은행,KOSPI,1,exact,1.1,0,0
267250,HD현대,KOSPI,2,exact,1.2,0,0
011200,HMM,KOSPI,2,exact,1.1,0,0
024110,기업은행,KOSPI,2,exact,1.2,0,0
267250,HD현대,KOSPI,3,exact,1.3,0,0
011200,HMM,KOSPI,3,exact,1.1,0,0
024110,기업은행,KOSPI,3,exact,1.1,0,0
064350,현대로템,KOSPI,1,exact,1.1,0,0
096770,SK이노베이션,KOSPI,1,exact,1.3,0,0
066570,LG전자,KOSPI,1,exact,1.2,0,0
064350,현대로템,KOSPI,2,exact,1.3,0,0
096770,SK이노베이션,KOSPI,2,exact,1.2,0,0
066570,LG전자,KOSPI,2,exact,1.1,0,0
064350,현대로템,KOSPI,3,exact,1.2,0,0
096770,SK이노베이션,KOSPI,3,exact,1.3,0,0
066570,LG전자,KOSPI,3,exact,1.3,0,0
138040,메리츠금융지주,KOSPI,1,exact,1.2,0,0
033780,KT&G,KOSPI,1,exact,1.1,0,0
000150,두산,KOSPI,1,exact,1.3,0,0
138040,메리츠금융지주,KOSPI,2,exact,1.3,0,0
033780,KT&G,KOSPI,2,exact,1.4,0,0
000150,두산,KOSPI,2,exact,1.2,0,0
138040,메리츠금융지주,KOSPI,3,exact,1.4,0,0
033780,KT&G,KOSPI,3,exact,1.2,0,0
000150,두산,KOSPI,3,exact,1.3,0,0
000720,현대건설,KOSPI,1,exact,1.3,0,0
003670,포스코퓨처엠,KOSPI,1,exact,1.2,0,0
047810,한국항공우주,KOSPI,1,exact,1.1,0,0
000720,현대건설,KOSPI,2,exact,1.2,0,0
003670,포스코퓨처엠,KOSPI,2,exact,1.1,0,0
047810,한국항공우주,KOSPI,2,exact,1.1,0,0
000720,현대건설,KOSPI,3,exact,1.1,0,0
003670,포스코퓨처엠,KOSPI,3,exact,1.2,0,0
047810,한국항공우주,KOSPI,3,exact,1.1,0,0
086280,현대글로비스,KOSPI,1,exact,1.2,0,0
030200,KT,KOSPI,1,exact,1.1,0,0
017670,SK텔레콤,KOSPI,1,exact,1.3,0,0
086280,현대글로비스,KOSPI,2,exact,1.3,0,0
030200,KT,KOSPI,2,exact,1.2,0,0
017670,SK텔레콤,KOSPI,2,exact,1.1,0,0
086280,현대글로비스,KOSPI,3,exact,1.1,0,0
030200,KT,KOSPI,3,exact,1.2,0,0
017670,SK텔레콤,KOSPI,3,exact,1.2,0,0
079550,LIG넥스원,KOSPI,1,exact,1.2,0,0
047050,포스코인터내셔널,KOSPI,1,exact,1.1,0,0
003550,LG,KOSPI,1,exact,1.2,0,0
079550,LIG넥스원,KOSPI,2,exact,1.2,0,0
047050,포스코인터내셔널,KOSPI,2,exact,1.1,0,0
003550,LG,KOSPI,2,exact,1.2,0,0
079550,LIG넥스원,KOSPI,3,exact,1.2,0,0
047050,포스코인터내셔널,KOSPI,3,exact,1.0,0,0
003550,LG,KOSPI,3,exact,1.1,0,0
352820,하이브,KOSPI,1,exact,1.1,0,0
005830,DB손해보험,KOSPI,1,exact,1.3,0,0
278470,에이피알,KOSPI,1,exact,1.1,0,0
352820,하이브,KOSPI,2,exact,1.2,0,0
278470,에이피알,KOSPI,2,exact,1.0,0,0
005830,DB손해보험,KOSPI,2,exact,1.2,0,0
352820,하이브,KOSPI,3,exact,1.2,0,0
278470,에이피알,KOSPI,3,exact,1.1,0,0
005830,DB손해보험,KOSPI,3,exact,1.2,0,0
010950,S-Oil,KOSPI,1,exact,1.2,0,0
071050,한국금융지주,KOSPI,1,exact,1.1,0,0
005940,NH투자증권,KOSPI,1,exact,1.3,0,0
010950,S-Oil,KOSPI,2,exact,1.2,0,0
071050,한국금융지주,KOSPI,2,exact,1.2,0,0
005940,NH투자증권,KOSPI,2,exact,1.3,0,0
071050,한국금융지주,KOSPI,3,exact,1.0,0,0
010950,S-Oil,KOSPI,3,exact,1.3,0,0
005940,NH투자증권,KOSPI,3,exact,1.3,0,0
018260,삼성에스디에스,KOSPI,1,exact,1.2,0,0
323410,카카오뱅크,KOSPI,1,exact,1.1,0,0
039490,키움증권,KOSPI,1,exact,1.1,0,0
323410,카카오뱅크,KOSPI,2,exact,1.1,0,0
018260,삼성에스디에스,KOSPI,2,exact,1.3,0,0
039490,키움증권,KOSPI,2,exact,1.2,0,0
323410,카카오뱅크,KOSPI,3,exact,1.1,0,0
018260,삼성에스디에스,KOSPI,3,exact,1.2,0,0
039490,키움증권,KOSPI,3,exact,1.1,0,0
307950,현대오토에버,KOSPI,1,exact,1.2,0,0
003490,대한항공,KOSPI,1,exact,1.1,0,0
259960,크래프톤,KOSPI,1,exact,1.4,0,0
307950,현대오토에버,KOSPI,2,exact,1.1,0,0
003490,대한항공,KOSPI,2,exact,1.2,0,0
259960,크래프톤,KOSPI,2,exact,1.4,0,0
