log_line,failure_type,detail1,detail2
3,career_period_reverse,2019 ~ 1986,홍지훈
4,career_period_reverse,2019 ~ 1986,홍지훈
5,career_period_reverse,2019 ~ 1986,홍지훈
6,career_period_reverse,2019 ~ 1986,홍지훈
7,career_period_reverse,2019 ~ 1986,홍지훈
8,career_period_reverse,2019 ~ 1986,홍지훈
9,career_period_reverse,2019 ~ 1986,홍지훈
10,career_period_reverse,2019 ~ 1986,홍지훈
11,career_period_reverse,2019 ~ 1986,홍지훈
12,career_period_reverse,2019 ~ 1986,홍지훈
13,career_period_reverse,2019 ~ 1986,홍지훈
14,career_period_reverse,2019 ~ 1986,홍지훈
15,career_period_reverse,2019 ~ 1986,홍지훈
16,career_period_reverse,2019 ~ 1986,홍지훈
17,career_period_reverse,2019 ~ 1986,홍지훈
18,career_period_reverse,2019 ~ 1986,홍지훈
19,career_period_reverse,2019 ~ 1986,홍지훈
20,career_period_reverse,2019 ~ 1986,홍지훈
21,career_period_reverse,2019 ~ 1986,홍지훈
22,career_period_reverse,2019 ~ 1986,홍지훈
23,career_period_reverse,2019 ~ 1986,홍지훈
24,career_period_reverse,2019 ~ 1986,홍지훈
25,career_period_reverse,2019 ~ 1986,홍지훈
26,career_period_reverse,2019 ~ 1986,홍지훈
31,career_period_reverse,2020 ~ 2011,송호성
32,career_period_reverse,2020 ~ 2009,정의선
33,career_period_reverse,2024 ~ 2021,김승준
35,career_period_reverse,2020 ~ 2011,송호성
36,career_period_reverse,2020 ~ 2009,정의선
37,career_period_reverse,2024 ~ 2021,김승준
38,career_period_reverse,2020 ~ 2011,송호성
39,career_period_reverse,2020 ~ 2009,정의선
40,career_period_reverse,2024 ~ 2021,김승준
41,career_period_reverse,2020 ~ 2011,송호성
42,career_period_reverse,2020 ~ 2009,정의선
43,career_period_reverse,2024 ~ 2021,김승준
45,career_period_reverse,2020 ~ 2011,송호성
46,career_period_reverse,2020 ~ 2009,정의선
47,career_period_reverse,2024 ~ 2021,김승준
48,career_period_reverse,2020 ~ 2011,송호성
49,career_period_reverse,2020 ~ 2009,정의선
50,career_period_reverse,2024 ~ 2021,김승준
51,career_period_reverse,2020 ~ 2011,송호성
52,career_period_reverse,2020 ~ 2009,정의선
53,career_period_reverse,2024 ~ 2021,김승준
54,career_period_reverse,2020 ~ 2011,송호성
55,career_period_reverse,2020 ~ 2009,정의선
56,career_period_reverse,2024 ~ 2021,김승준
57,career_period_reverse,2020 ~ 2011,송호성
58,career_period_reverse,2020 ~ 2009,정의선
59,career_period_reverse,2024 ~ 2021,김승준
60,career_period_reverse,2020 ~ 2011,송호성
61,career_period_reverse,2020 ~ 2009,정의선
62,career_period_reverse,2024 ~ 2021,김승준
63,career_period_reverse,2020 ~ 2011,송호성
64,career_period_reverse,2020 ~ 2009,정의선
65,career_period_reverse,2024 ~ 2021,김승준
66,career_period_reverse,2020 ~ 2011,송호성
67,career_period_reverse,2020 ~ 2009,정의선
68,career_period_reverse,2024 ~ 2021,김승준
70,career_period_reverse,2024 ~ 2015.10,구윤철
71,career_period_reverse,2024.12 ~ 2018.04,박준규
72,career_period_reverse,2024.12 ~ 2018.02,이완삼
73,career_period_reverse,2024 ~ 2015.10,구윤철
74,career_period_reverse,2024 ~ 2015.10,구윤철
75,career_period_reverse,2024.12 ~ 2018.04,박준규
