ticker,company,market,meeting_type
005930,삼성전자,KOSPI,annual
000660,SK하이닉스,KOSPI,annual
005380,현대차,KOSPI,annual
373220,LG에너지솔루션,KOSPI,annual
402340,SK스퀘어,KOSPI,annual
207940,삼성바이오로직스,KOSPI,annual
012450,한화에어로스페이스,KOSPI,annual
034020,두산에너빌리티,KOSPI,annual
000270,기아,KOSPI,annual
105560,KB금융,KOSPI,annual
329180,HD현대중공업,KOSPI,annual
028260,삼성물산,KOSPI,annual
032830,삼성생명,KOSPI,annual
068270,셀트리온,KOSPI,annual
055550,신한지주,KOSPI,annual
042660,한화오션,KOSPI,annual
012330,현대모비스,KOSPI,annual
006800,미래에셋증권,KOSPI,annual
035420,NAVER,KOSPI,annual
267260,HD현대일렉트릭,KOSPI,annual
