corp_code,corp_name,rcept_no,agenda_title
00113058,한화생명,20250721000027,이사 선임의 건
00139764,에넥스,20260311003741,제50기(2025.1.1~2025.12.31) 재무제표(결손금처리계산서 포함) 및 연결재무제표 승인의 건
00139764,에넥스,20260311003741,정관 일부 변경의 건
00139764,에넥스,20260311003741,이사 선임의 건
00139764,에넥스,20260311003741,이사 보수한도 승인의 건
00139764,에넥스,20260311003741,감사 보수한도 승인의 건
00877819,데이타솔루션,20250224003491,제15기(2024.01.01 ~ 2024.12.31) 재무제표 승인의 건
00877819,데이타솔루션,20250224003491,정관 변경의 건
00877819,데이타솔루션,20250224003491,이사 선임의 건
00877819,데이타솔루션,20250224003491,감사 선임의 건
00877819,데이타솔루션,20250224003491,이사 보수한도액 결정의 건
00877819,데이타솔루션,20250224003491,감사 보수한도액 결정의 건
00877819,데이타솔루션,20250224003491,주식매수선택권 부여 승인의 건
00186452,광무,20250314001737,제34기(2024.01.01 ~ 2024.12.31) 재무제표 및 연결 재무제표 승인의 건
00186452,광무,20250314001737,이사 선임의 건
00186452,광무,20250314001737,임원퇴직금 지급규정 일부 변경의 건
00186452,광무,20250314001737,이사보수한도 승인의 건
00186452,광무,20250314001737,감사보수한도 승인의 건
01358463,현대무벡스,20260311004140,제7기(2025.1.1~2025.12.31) 재무제표 및 연결재무제표 승인의 건
01358463,현대무벡스,20260311004140,정관 일부 변경의 건
01358463,현대무벡스,20260311004140,이사 선임의 건
01358463,현대무벡스,20260311004140,감사위원회 위원이 되는 사외이사 김경우 선임의 건
01358463,현대무벡스,20260311004140,이사 보수한도액 승인의 건
01358463,현대무벡스,20260311004140,자기주식 보유ㆍ처분 계획 승인의 건
00670340,씨에스윈드,20250311001020,제19기(2024.01.01 ~ 2024.12.31) 재무제표 및 연결재무제표 승인의 건
00670340,씨에스윈드,20250311001020,자본준비금의 이익잉여금 전입의 건
00670340,씨에스윈드,20250311001020,사외이사 김성수 선임의 건
00670340,씨에스윈드,20250311001020,감사위원회 위원 김성수 선임의 건
00670340,씨에스윈드,20250311001020,감사위원회 위원이 되는 사외이사 엄은숙 선임의 건
00670340,씨에스윈드,20250311001020,이사 보수 한도 승인의 건
00766106,엣지파운드리,20250122000409,합병계약 승인의 건
00828789,대성산업,20250708000375,정관 일부 변경의 건
00828789,대성산업,20250708000375,자본준비금 감액 및 이익잉여금 전입의 건
01674538,엔에이치기업인수목적24호,20250310000307,"제 3기 재무상태표, 손익계산서 및 이익잉여금처분계산서(안) 승인의 건"
01674538,엔에이치기업인수목적24호,20250310000307,이사 보수한도액 승인의 건
