corp_code,corp_name,stock_code,rcept_no,rcept_dt,report_nm,is_correction,is_extraordinary
00232317,지오엠씨,033030,20250311000403,20250311,주주총회소집공고,False,False
01170962,GRT,900290,20251002000452,20251002,주주총회소집공고,False,False
01170962,GRT,900290,20250514000817,20250514,주주총회소집공고,False,False
01170962,GRT,900290,20250424000523,20250424,주주총회소집공고,False,False
01170962,GRT,900290,20241021000230,20241021,주주총회소집공고,False,False
01170962,GRT,900290,20241004000072,20241004,주주총회소집공고,False,False
01170962,GRT,900290,20240906000136,20240906,주주총회소집공고,False,False
01139266,로스웰,900260,20260401004044,20260401,주주총회소집공고,False,False
01139266,로스웰,900260,20250401002693,20250401,주주총회소집공고,False,False
01139266,로스웰,900260,20240408002319,20240408,주주총회소집공고,False,False
01107665,크리스탈신소재,900250,20260406003742,20260406,주주총회소집공고,False,False
01107665,크리스탈신소재,900250,20251121000447,20251121,주주총회소집공고,False,False
01107665,크리스탈신소재,900250,20250404003114,20250404,주주총회소집공고,False,False
01107665,크리스탈신소재,900250,20240801000274,20240801,주주총회소집공고,False,False
01107665,크리스탈신소재,900250,20240605000312,20240605,주주총회소집공고,False,False
01107665,크리스탈신소재,900250,20240415000859,20240415,[기재정정]주주총회소집공고,True,False
01107665,크리스탈신소재,900250,20240415000848,20240415,[기재정정]주주총회소집공고,True,False
01107665,크리스탈신소재,900250,20240408004116,20240408,주주총회소집공고,False,False
00261735,위노바,039790,20260312001081,20260312,주주총회소집공고,False,False
00173944,우진,105840,20260304000543,20260304,주주총회소집공고,False,False
00173944,우진,105840,20250305000294,20250305,주주총회소집공고,False,False
00173944,우진,105840,20240709000180,20240709,주주총회소집공고,False,False
00173944,우진,105840,20240313001029,20240313,[기재정정]주주총회소집공고,True,False
00173944,우진,105840,20240305000291,20240305,주주총회소집공고,False,False
00129350,삼화콘덴서공업,001820,20260310002744,20260310,주주총회소집공고,False,False
00129350,삼화콘덴서공업,001820,20250306000391,20250306,주주총회소집공고,False,False
00129350,삼화콘덴서공업,001820,20240307000337,20240307,주주총회소집공고,False,False
00303217,우진플라임,049800,20260306000637,20260306,주주총회소집공고,False,False
00303217,우진플라임,049800,20250307000068,20250307,주주총회소집공고,False,False
00303217,우진플라임,049800,20240312000220,20240312,주주총회소집공고,False,False
00125938,삼보판지,023600,20260309001178,20260309,주주총회소집공고,False,False
00125938,삼보판지,023600,20250827000092,20250827,주주총회소집공고,False,False
00125938,삼보판지,023600,20250313000056,20250313,주주총회소집공고,False,False
00125938,삼보판지,023600,20240314000703,20240314,주주총회소집공고,False,False
00125938,삼보판지,023600,20240221001914,20240221,주주총회소집공고,False,False
01036446,서연이화,200880,20260310003022,20260310,주주총회소집공고,False,False
01036446,서연이화,200880,20250318001055,20250318,[기재정정]주주총회소집공고,True,False
01036446,서연이화,200880,20250307001003,20250307,주주총회소집공고,False,False
01036446,서연이화,200880,20240320001652,20240320,[기재정정]주주총회소집공고,True,False
01036446,서연이화,200880,20240313001517,20240313,주주총회소집공고,False,False
00112970,대한방직,001070,20260316000831,20260316,[기재정정]주주총회소집공고,True,False
00112970,대한방직,001070,20260311003942,20260311,주주총회소집공고,False,False
00112970,대한방직,001070,20250305000529,20250305,주주총회소집공고,False,False
00112970,대한방직,001070,20240306000645,20240306,주주총회소집공고,False,False
00129554,갤럭시아에스엠,011420,20260317000418,20260317,[기재정정]주주총회소집공고,True,False
00129554,갤럭시아에스엠,011420,20260313001204,20260313,주주총회소집공고,False,False
00129554,갤럭시아에스엠,011420,20250313000988,20250313,주주총회소집공고,False,False
00129554,갤럭시아에스엠,011420,20240314001571,20240314,주주총회소집공고,False,False
01068348,러셀,217500,20260311003277,20260311,주주총회소집공고,False,False
01068348,러셀,217500,20250314000859,20250314,[기재정정]주주총회소집공고,True,False
01068348,러셀,217500,20250311000814,20250311,주주총회소집공고,False,False
01068348,러셀,217500,20240314000841,20240314,주주총회소집공고,False,False
01236286,컬러레이,900310,20260408002258,20260408,주주총회소집공고,False,False
