ticker,corp_name,rcept_no,appt_count,cand_count,name_ok,birth_ok,role_ok,career_ok,career_period_ok,careergroup_ok
088350,한화생명,20250721000027,1,2,2,2,2,2,2,2
011090,에넥스,20260311003741,1,1,1,1,1,1,1,1
263800,데이타솔루션,20250224003491,2,3,3,3,3,3,2,3
029480,광무,20250314001737,1,5,5,5,5,5,5,5
319400,현대무벡스,20260311004140,2,3,3,3,3,3,3,3
112610,씨에스윈드,20250311001020,2,3,3,3,3,3,3,3
105550,엣지파운드리,20250122000409,0,0,0,0,0,0,0,0
128820,대성산업,20250708000375,0,0,0,0,0,0,0,0
437780,엔에이치기업인수목적24호,20250310000307,0,0,0,0,0,0,0,0
041190,우리기술투자,20260220000945,1,3,3,3,3,3,3,3
036930,주성엔지니어링,20250310000836,1,6,6,6,6,6,6,6
321370,센서뷰,20250312000452,2,3,3,3,3,3,3,3
195500,마니커에프앤지,20260306000844,1,1,1,1,1,1,1,1
056360,코위버,20250310000214,0,0,0,0,0,0,0,0
066590,스모트로닉,20250310000193,0,0,0,0,0,0,0,0
093510,엔지브이아이,20250310000397,0,0,0,0,0,0,0,0
236200,슈프리마,20260309001666,1,1,1,1,1,1,1,1
244880,나눔테크,20250314000246,1,1,1,1,1,1,0,1
098660,에스티오,20260312001093,0,0,0,0,0,0,0,0
065350,신성델타테크,20260310002803,3,4,4,4,4,4,4,4
099750,이지케어텍,20250605000290,1,1,1,1,1,1,1,1
019490,엑시큐어하이트론,20250314001170,0,0,0,0,0,0,0,0
296160,프로젠,20260313000829,2,3,3,3,3,3,3,3
071280,로체시스템즈,20260310002381,2,2,2,2,2,2,2,2
081660,미스토홀딩스,20250227007072,2,5,5,5,5,5,5,5
153460,네이블,20250305000057,0,0,0,0,0,0,0,0
049960,쎌바이오텍,20260310002159,1,1,1,1,1,1,1,1
360070,탑머티리얼,20251021000401,1,1,1,1,1,1,1,1
123010,알엔티엑스,20260109000536,2,4,4,1,4,0,0,0
476470,케이비제28호기업인수목적,20250507000032,0,0,0,0,0,0,0,0
278990,EMB,20260310003033,0,0,0,0,0,0,0,0
065060,지엔코,20260311003978,2,3,3,3,3,3,1,3
002170,SYTS,20260312001125,2,5,5,5,5,5,5,5
005320,온타이드,20251201000424,1,2,2,2,2,2,2,2
021040,대호특수강,20250313001066,0,0,0,0,0,0,0,0
299030,하나기술,20260304001079,4,4,4,4,4,4,0,4
058630,엠게임,20250307000237,1,3,3,3,3,3,3,3
125210,아모그린텍,20250307000734,2,2,2,2,2,2,2,2
056190,에스에프에이,20260316000600,1,1,1,1,1,1,1,1
003830,대한화섬,20250312000719,2,5,5,5,5,5,5,5
236030,씨알푸드,20250307001103,0,0,0,0,0,0,0,0
489500,엘케이켐,20250314001673,0,0,0,0,0,0,0,0
257990,나우코스,20260313000698,2,1,1,1,1,1,1,1
214390,경보제약,20250225004274,1,1,1,1,1,1,1,1
099410,동방선기,20250314001479,0,0,0,0,0,0,0,0
091590,남화토건,20250311001108,1,4,4,4,4,4,4,4
071050,한국금융지주,20260312000993,1,7,7,7,7,7,7,7
251280,안지오랩,20250312000089,2,2,2,2,2,2,2,2
272290,이녹스첨단소재,20260225003739,4,8,8,8,8,8,8,8
142210,유니트론텍,20260311004435,1,1,1,1,1,1,1,1
336260,두산퓨얼셀,20250304000509,4,3,3,3,3,3,3,3
009460,한창제지,20250305000617,1,3,3,3,3,3,3,3
