ticker,company,market,meeting_type,run_no,status,elapsed_s,agenda,for,against,review,candidates
000660,SK하이닉스,KOSPI,annual,1,exact,13.1,4,2,0,2,2
000660,SK하이닉스,KOSPI,annual,2,exact,0.0,4,2,0,2,2
000660,SK하이닉스,KOSPI,annual,3,exact,0.0,4,2,0,2,2
005930,삼성전자,KOSPI,annual,1,exact,14.9,10,7,0,3,9
005930,삼성전자,KOSPI,annual,2,exact,0.0,10,7,0,3,9
005930,삼성전자,KOSPI,annual,3,exact,0.0,10,7,0,3,9
005380,현대차,KOSPI,annual,1,exact,15.7,10,3,0,7,7
005380,현대차,KOSPI,annual,2,exact,0.0,10,3,0,7,7
005380,현대차,KOSPI,annual,3,exact,0.0,10,3,0,7,7
373220,LG에너지솔루션,KOSPI,annual,1,exact,12.8,5,1,0,4,2
373220,LG에너지솔루션,KOSPI,annual,2,exact,0.2,5,1,0,4,2
373220,LG에너지솔루션,KOSPI,annual,3,exact,0.0,5,1,0,4,2
402340,SK스퀘어,KOSPI,annual,1,exact,11.9,6,1,0,5,3
402340,SK스퀘어,KOSPI,annual,2,exact,0.0,6,1,0,5,3
402340,SK스퀘어,KOSPI,annual,3,exact,0.3,6,1,0,5,3
207940,삼성바이오로직스,KOSPI,annual,1,exact,12.8,8,1,0,7,5
207940,삼성바이오로직스,KOSPI,annual,2,exact,0.0,8,1,0,7,5
207940,삼성바이오로직스,KOSPI,annual,3,exact,0.0,8,1,0,7,5
012450,한화에어로스페이스,KOSPI,annual,1,exact,15.9,10,1,0,9,0
034020,두산에너빌리티,KOSPI,annual,1,exact,14.8,6,3,0,3,3
012450,한화에어로스페이스,KOSPI,annual,2,exact,0.0,10,1,0,9,0
034020,두산에너빌리티,KOSPI,annual,2,exact,0.0,6,3,0,3,3
012450,한화에어로스페이스,KOSPI,annual,3,exact,0.0,10,1,0,9,0
034020,두산에너빌리티,KOSPI,annual,3,exact,0.0,6,3,0,3,3
000270,기아,KOSPI,annual,1,exact,15.8,8,1,0,7,4
000270,기아,KOSPI,annual,2,exact,0.0,8,1,0,7,4
000270,기아,KOSPI,annual,3,exact,0.0,8,1,0,7,4
329180,HD현대중공업,KOSPI,annual,1,exact,13.8,3,1,0,2,2
329180,HD현대중공업,KOSPI,annual,2,exact,0.0,3,1,0,2,2
329180,HD현대중공업,KOSPI,annual,3,exact,0.0,3,1,0,2,2
105560,KB금융,KOSPI,annual,1,exact,13.9,10,2,0,8,9
105560,KB금융,KOSPI,annual,2,exact,0.0,10,2,0,8,9
105560,KB금융,KOSPI,annual,3,exact,0.0,10,2,0,8,9
028260,삼성물산,KOSPI,annual,1,exact,21.2,7,1,0,6,0
028260,삼성물산,KOSPI,annual,2,exact,0.0,7,1,0,6,0
028260,삼성물산,KOSPI,annual,3,exact,0.0,7,1,0,6,0
032830,삼성생명,KOSPI,annual,1,exact,12.2,10,5,0,5,8
032830,삼성생명,KOSPI,annual,2,exact,0.0,10,5,0,5,8
032830,삼성생명,KOSPI,annual,3,exact,0.0,10,5,0,5,8
068270,셀트리온,KOSPI,annual,1,exact,14.3,5,1,0,4,0
068270,셀트리온,KOSPI,annual,2,exact,1.5,5,1,0,4,0
068270,셀트리온,KOSPI,annual,3,exact,0.0,5,1,0,4,0
055550,신한지주,KOSPI,annual,1,exact,23.5,10,2,0,8,11
055550,신한지주,KOSPI,annual,2,exact,0.0,10,2,0,8,11
055550,신한지주,KOSPI,annual,3,exact,0.0,10,2,0,8,11
012330,현대모비스,KOSPI,annual,1,exact,21.8,9,2,0,7,4
012330,현대모비스,KOSPI,annual,2,exact,0.0,9,2,0,7,4
012330,현대모비스,KOSPI,annual,3,exact,0.3,9,2,0,7,4
042660,한화오션,KOSPI,annual,1,exact,25.8,10,3,0,7,10
042660,한화오션,KOSPI,annual,2,exact,0.1,10,3,0,7,10
042660,한화오션,KOSPI,annual,3,exact,0.0,10,3,0,7,10
006800,M레거시증권,KOSPI,annual,1,exact,15.4,10,1,0,9,0
006800,M레거시증권,KOSPI,annual,2,exact,0.0,10,1,0,9,0
006800,M레거시증권,KOSPI,annual,3,exact,0.0,10,1,0,9,0
267260,HD현대일렉트릭,KOSPI,annual,1,exact,11.2,6,1,0,5,3
267260,HD현대일렉트릭,KOSPI,annual,2,exact,0.0,6,1,0,5,3
267260,HD현대일렉트릭,KOSPI,annual,3,exact,0.0,6,1,0,5,3
010130,고려아연,KOSPI,annual,1,exact,7.4,7,1,0,6,27
010130,고려아연,KOSPI,annual,2,exact,0.0,7,1,0,6,27
010130,고려아연,KOSPI,annual,3,exact,0.0,7,1,0,6,27
006400,삼성SDI,KOSPI,annual,1,exact,5.2,4,1,0,3,1
006400,삼성SDI,KOSPI,annual,2,exact,0.0,4,1,0,3,1
006400,삼성SDI,KOSPI,annual,3,exact,0.0,4,1,0,3,1
086790,하나금융지주,KOSPI,annual,1,exact,7.4,10,1,7,2,11
086790,하나금융지주,KOSPI,annual,2,exact,0.0,10,1,7,2,11
086790,하나금융지주,KOSPI,annual,3,exact,0.0,10,1,7,2,11
015760,한국전력,KOSPI,annual,1,error,0.1,0,0,0,0,0
015760,한국전력,KOSPI,annual,2,error,0.1,0,0,0,0,0
015760,한국전력,KOSPI,annual,3,error,0.1,0,0,0,0,0
042700,한미반도체,KOSPI,annual,1,exact,4.7,6,2,0,4,2
042700,한미반도체,KOSPI,annual,2,exact,0.0,6,2,0,4,2
042700,한미반도체,KOSPI,annual,3,exact,0.0,6,2,0,4,2
009150,삼성전기,KOSPI,annual,1,exact,33.1,7,2,0,5,3
009150,삼성전기,KOSPI,annual,2,exact,0.0,7,2,0,5,3
