ticker,company,sector,industry
005930,삼성전자,IT,반도체
000660,SK하이닉스,IT,반도체
005380,현대차,경기소비재,자동차 및 부품
373220,LG에너지솔루션,IT,하드웨어
207940,삼성바이오로직스,의료,제약 및 바이오
012450,한화에어로스페이스,산업재,상업서비스
402340,SK스퀘어,산업재,자본재
034020,두산에너빌리티,산업재,자본재
000270,기아,경기소비재,자동차 및 부품
105560,KB금융,금융,은행
329180,HD현대중공업,산업재,자본재
068270,셀트리온,의료,제약 및 바이오
055550,신한지주,금융,은행
032830,삼성생명,금융,보험
028260,삼성물산,산업재,자본재
042660,한화오션,산업재,자본재
006400,삼성SDI,IT,하드웨어
012330,현대모비스,경기소비재,자동차 및 부품
006800,미래에셋증권,금융,증권
018260,삼성에스디에스,IT,소프트웨어
086790,하나금융지주,금융,은행
000810,삼성화재,금융,보험
009540,HD한국조선해양,산업재,자본재
015760,한국전력,유틸리티,전기유틸리티
259960,크래프톤,IT,소프트웨어
316140,우리금융지주,금융,은행
051910,LG화학,산업재,화학
017670,SK텔레콤,통신서비스,통신서비스
267260,HD현대일렉트릭,산업재,자본재
033780,KT&G,필수소비재,식품
009150,삼성전기,IT,하드웨어
024110,기업은행,금융,은행
010130,고려아연,소재,금속 및 광물
003670,포스코홀딩스,소재,금속 및 광물
035420,NAVER,IT,소프트웨어
