ticker,company,sector,industry
005930,삼성전자,IT,반도체
000660,SK하이닉스,IT,반도체
005380,현대차,경기소비재,자동차 및 부품
373220,LG에너지솔루션,IT,하드웨어
207940,삼성바이오로직스,의료,제약 및 바이오
012450,한화에어로스페이스,산업재,상업서비스
402340,SK스퀘어,산업재,자본재
034020,두산에너빌리티,산업재,자본재
000270,기아,경기소비재,자동차 및 부품
105560,KB금융,금융,은행
329180,HD현대중공업,산업재,자본재
068270,셀트리온,의료,제약 및 바이오
055550,신한지주,금융,은행
032830,삼성생명,금융,보험
028260,삼성물산,산업재,자본재
042660,한화오션,산업재,자본재
006400,삼성SDI,IT,하드웨어
012330,현대모비스,경기소비재,자동차 및 부품
006800,미래에셋증권,금융,증권
267260,HD현대일렉트릭,산업재,자본재
009150,삼성전기,IT,하드웨어
086790,하나금융지주,금융,은행
035420,NAVER,IT,소프트웨어
010130,고려아연,소재,소재
005490,POSCO홀딩스,소재,소재
015760,한국전력,유틸리티,유틸리티
009540,HD한국조선해양,산업재,자본재
272210,한화시스템,산업재,상업서비스
042700,한미반도체,IT,반도체
010140,삼성중공업,산업재,자본재
316140,우리금융지주,금융,은행
298040,효성중공업,산업재,자본재
010120,LS ELECTRIC,산업재,자본재
034730,SK,에너지,에너지
064350,현대로템,산업재,상업서비스
051910,LG화학,소재,소재
000810,삼성화재,금융,보험
035720,카카오,IT,소프트웨어
096770,SK이노베이션,에너지,에너지
267250,HD현대,산업재,자본재
011200,HMM,산업재,운송
003670,포스코퓨처엠,소재,소재
138040,메리츠금융지주,금융,증권
047810,한국항공우주,산업재,상업서비스
033780,KT&G,필수소비재,음식료 및 담배
066570,LG전자,경기소비재,내구 소비재 및 의류
024110,기업은행,금융,은행
079550,LIG디펜스앤에어로스페이스,산업재,상업서비스
017670,SK텔레콤,통신서비스,통신서비스
000720,현대건설,산업재,자본재
