ticker,company,sector,industry
011930,신성이엔지,IT,반도체
002240,고려제강,소재,소재
002030,아세아,소재,소재
271940,일진하이솔루스,경기소비재,자동차 및 부품
001820,삼화콘덴서,산업재,자본재
004690,삼천리,유틸리티,유틸리티
019170,신풍제약,의료,제약 및 바이오
014830,유니드,소재,소재
381970,케이카,경기소비재,자동차 및 부품
020000,한섬,경기소비재,내구 소비재 및 의류
009410,태영건설,산업재,자본재
284740,쿠쿠홈시스,경기소비재,내구 소비재 및 의류
006110,삼아알미늄,소재,소재
016380,KG스틸,소재,소재
453340,현대그린푸드,필수소비재,음식료 및 담배
016590,신대양제지,소재,소재
016610,DB증권,금융,증권
003300,한일홀딩스,소재,소재
377740,바이오노트,의료,의료장비 및 서비스
000070,삼양홀딩스,소재,소재
005810,풍산홀딩스,소재,소재
009900,명신산업,경기소비재,자동차 및 부품
029530,신도리코,IT,하드웨어
034310,NICE,IT,소프트웨어
217590,티엠씨,산업재,자본재
145990,삼양사,필수소비재,음식료 및 담배
105840,우진,산업재,자본재
452260,한화갤러리아,경기소비재,유통
017810,풀무원,필수소비재,음식료 및 담배
006220,제주은행,금융,은행
015360,INVENI,유틸리티,유틸리티
192650,드림텍,IT,하드웨어
105630,한세실업,경기소비재,내구 소비재 및 의류
027410,BGF,소재,소재
004700,조광피혁,경기소비재,내구 소비재 및 의류
016800,퍼시스,경기소비재,내구 소비재 및 의류
460860,동국제강,소재,소재
001530,DI동일,경기소비재,내구 소비재 및 의류
145720,덴티움,의료,의료장비 및 서비스
001200,유진투자증권,금융,증권
170900,동아에스티,의료,제약 및 바이오
005610,삼립,필수소비재,음식료 및 담배
008060,대덕,IT,하드웨어
072710,농심홀딩스,필수소비재,음식료 및 담배
031430,신세계인터내셔날,경기소비재,내구 소비재 및 의류
006340,대원전선,산업재,자본재
009290,광동제약,의료,제약 및 바이오
089590,제주항공,산업재,운송
025860,남해화학,소재,소재
344820,KCC글라스,산업재,자본재
