market,rank,ticker,company,market_cap
KOSDAQ,1,247540,에코프로비엠,"211,314"
KOSDAQ,2,086520,에코프로,"198,912"
KOSDAQ,3,196170,알테오젠,"195,322"
KOSDAQ,4,277810,레인보우로보틱스,"146,275"
KOSDAQ,5,036930,주성엔지니어링,"104,118"
KOSDAQ,6,950160,코오롱티슈진,"90,413"
KOSDAQ,7,000250,삼천당제약,"87,262"
KOSDAQ,8,058470,리노공업,"81,166"
KOSDAQ,9,039030,이오테크닉스,"70,591"
KOSDAQ,10,028300,HLB,"67,798"
KOSDAQ,11,298380,에이비엘바이오,"67,297"
KOSDAQ,12,440110,파두,"64,274"
KOSDAQ,13,087010,펩트론,"59,809"
KOSDAQ,14,240810,원익IPS,"59,735"
KOSDAQ,15,141080,리가켐바이오,"58,269"
KOSDAQ,16,310210,보로노이,"51,710"
KOSDAQ,17,222800,심텍,"49,377"
KOSDAQ,18,178320,서진시스템,"49,146"
KOSDAQ,19,214370,케어젠,"47,860"
KOSDAQ,20,403870,HPSP,"45,018"
KOSDAQ,21,108490,로보티즈,"44,631"
KOSDAQ,22,095340,ISC,"44,514"
KOSDAQ,23,319400,현대무벡스,"41,655"
KOSDAQ,24,080220,제주반도체,"40,884"
KOSDAQ,25,010170,대한광통신,"37,783"
KOSDAQ,26,067310,하나마이크론,"34,362"
KOSDAQ,27,064760,티씨케이,"34,041"
KOSDAQ,28,319660,피에스케이,"33,862"
KOSDAQ,29,214150,클래시스,"33,662"
KOSDAQ,30,357780,솔브레인,"33,409"
KOSDAQ,31,131970,두산테스나,"33,166"
KOSDAQ,32,145020,휴젤,"32,913"
KOSDAQ,33,226950,올릭스,"32,846"
KOSDAQ,34,084370,유진테크,"31,785"
KOSDAQ,35,005290,동진쎄미켐,"31,754"
KOSDAQ,36,214450,파마리서치,"31,688"
KOSDAQ,37,347850,디앤디파마텍,"30,531"
KOSDAQ,38,100790,미래에셋벤처투자,"29,750"
KOSDAQ,39,263750,펄어비스,"29,586"
KOSDAQ,40,031980,피에스케이홀딩스,"29,562"
KOSDAQ,41,043260,성호전자,"29,256"
KOSDAQ,42,237690,에스티팜,"29,098"
KOSDAQ,43,032820,우리기술,"28,830"
KOSDAQ,44,058610,에스피지,"28,498"
KOSDAQ,45,218410,RFHIC,"27,616"
KOSDAQ,46,098460,고영,"27,050"
KOSDAQ,47,131290,티에스이,"26,990"
KOSDAQ,48,257720,실리콘투,"25,444"
KOSDAQ,49,095610,테스,"24,974"
KOSDAQ,50,078600,대주전자재료,"24,425"
KOSDAQ,51,082920,비츠로셀,"24,347"
KOSDAQ,52,083650,비에이치아이,"24,322"
KOSDAQ,53,068760,셀트리온제약,"22,734"
KOSDAQ,54,140410,메지온,"22,521"
KOSDAQ,55,035900,JYP Ent.,"21,888"
KOSDAQ,56,347700,스피어,"21,749"
KOSDAQ,57,030530,원익홀딩스,"21,665"
KOSDAQ,58,323280,태성,"20,827"
KOSDAQ,59,140860,파크시스템스,"20,342"
KOSDAQ,60,476830,알지노믹스,"20,274"
KOSDAQ,61,041510,에스엠,"20,193"
KOSDAQ,62,089030,테크윙,"19,898"
KOSDAQ,63,060370,LS마린솔루션,"19,250"
KOSDAQ,64,027360,아주IB투자,"19,117"
KOSDAQ,65,183300,코미코,"18,526"
KOSDAQ,66,290650,엘앤씨바이오,"18,420"
KOSDAQ,67,491000,리브스메드,"18,203"
KOSDAQ,68,437730,삼현,"17,312"
KOSDAQ,69,101490,에스앤에스텍,"16,919"
KOSDAQ,70,099320,쎄트렉아이,"16,898"
KOSDAQ,71,036540,SFA반도체,"16,857"
KOSDAQ,72,096530,씨젠,"16,503"
KOSDAQ,73,189300,인텔리안테크,"16,353"
KOSDAQ,74,039200,오스코텍,"16,164"
KOSDAQ,75,166090,하나머티리얼즈,"16,040"
KOSDAQ,76,417200,LS머트리얼즈,"16,000"
KOSDAQ,77,089970,브이엠,"15,978"
KOSDAQ,78,232140,와이씨,"15,662"
KOSDAQ,79,031330,에스에이엠티,"15,589"
KOSDAQ,80,475830,오름테라퓨틱,"15,468"
KOSDAQ,81,032500,케이엠더블유,"15,344"
KOSDAQ,82,420770,기가비스,"15,186"
KOSDAQ,83,439960,코스모로보틱스,"14,947"
KOSDAQ,84,445680,큐리옥스바이오시스템즈,"14,829"
KOSDAQ,85,007390,네이처셀,"14,498"
KOSDAQ,86,038500,삼표시멘트,"14,234"
KOSDAQ,87,458870,씨어스,"14,025"
KOSDAQ,88,090710,휴림로봇,"13,905"
KOSDAQ,89,127120,제이에스링크,"13,641"
KOSDAQ,90,003380,하림지주,"13,631"
KOSDAQ,91,295310,에이치브이엠,"13,591"
KOSDAQ,92,065350,신성델타테크,"13,495"
KOSDAQ,93,281740,레이크머티리얼즈,"13,442"
KOSDAQ,94,195940,HK이노엔,"13,329"
KOSDAQ,95,085660,차바이오텍,"13,183"
KOSDAQ,96,397030,에이프릴바이오,"12,995"
KOSDAQ,97,048410,현대바이오,"12,980"
KOSDAQ,98,204270,제이앤티씨,"12,380"
KOSDAQ,99,490470,세미파이브,"12,325"
KOSDAQ,100,124500,아이티센글로벌,"12,113"
KOSDAQ,101,126340,비나텍,"12,073"
KOSDAQ,102,388210,씨엠티엑스,"11,812"
KOSDAQ,103,056190,에스에프에이,"11,760"
KOSDAQ,104,356860,티엘비,"11,681"
KOSDAQ,105,161580,필옵틱스,"11,627"
KOSDAQ,106,213420,덕산네오룩스,"11,410"
KOSDAQ,107,036830,솔브레인홀딩스,"11,380"
KOSDAQ,108,388720,유일로보틱스,"11,345"
KOSDAQ,109,137400,피엔티,"11,300"
KOSDAQ,110,160190,하이젠알앤엠,"11,120"
KOSDAQ,111,050890,쏠리드,"11,015"
KOSDAQ,112,115180,큐리언트,"10,893"
KOSDAQ,113,083450,GST,"10,874"
KOSDAQ,114,033100,제룡전기,"10,810"
KOSDAQ,115,052020,에스티큐브,"10,735"
KOSDAQ,116,466100,클로봇,"10,731"
KOSDAQ,117,222080,씨아이에스,"10,547"
KOSDAQ,118,456160,지투지바이오,"10,407"
KOSDAQ,119,033790,피노,"10,291"
KOSDAQ,120,086450,동국제약,"10,086"
KOSDAQ,121,023160,태광,"9,998"
KOSDAQ,122,074600,원익QnC,"9,989"
KOSDAQ,123,014620,성광벤드,"9,627"
KOSDAQ,124,171090,선익시스템,"9,587"
KOSDAQ,125,477850,마키나락스,"9,578"
