market,rank,ticker,company,market_cap
KOSPI,1,005930,삼성전자,"17,100,365"
KOSPI,2,000660,SK하이닉스,"13,833,553"
KOSPI,3,402340,SK스퀘어,"1,563,707"
KOSPI,4,005380,현대자동차,"1,341,163"
KOSPI,5,009150,삼성전기,"1,000,896"
KOSPI,6,373220,LG에너지솔루션,"932,490"
KOSPI,7,032830,삼성생명,"729,000"
KOSPI,8,034020,두산에너빌리티,"714,866"
KOSPI,9,329180,HD현대중공업,"713,736"
KOSPI,10,028260,삼성물산,"681,915"
KOSPI,11,207940,삼성바이오로직스,"655,017"
KOSPI,12,012450,한화에어로스페이스,"650,214"
KOSPI,13,000270,기아,"643,401"
KOSPI,14,105560,KB금융,"596,561"
KOSPI,15,012330,현대모비스,"586,132"
KOSPI,16,006400,삼성SDI,"521,388"
KOSPI,17,055550,신한지주,"466,111"
KOSPI,18,034730,SK,"465,467"
KOSPI,19,068270,셀트리온,"441,357"
KOSPI,20,267260,HD현대일렉트릭,"422,833"
KOSPI,21,010120,엘에스일렉트릭,"421,500"
KOSPI,22,066570,LG전자,"386,037"
KOSPI,23,006800,미래에셋증권,"377,708"
KOSPI,24,042660,한화오션,"374,437"
KOSPI,25,298040,효성중공업,"373,635"
KOSPI,26,005490,POSCO홀딩스,"354,606"
KOSPI,27,086790,하나금융지주,"335,003"
KOSPI,28,035420,NAVER,"318,454"
KOSPI,29,042700,한미반도체,"305,476"
KOSPI,30,010130,고려아연,"298,483"
KOSPI,31,009540,HD한국조선해양,"297,955"
KOSPI,32,010140,삼성중공업,"259,600"
KOSPI,33,000150,두산,"257,968"
KOSPI,34,015760,한국전력공사,"254,860"
KOSPI,35,000810,삼성화재해상보험,"254,044"
KOSPI,36,051910,LG화학,"247,779"
KOSPI,37,316140,우리금융지주,"231,601"
KOSPI,38,064350,현대로템,"224,833"
KOSPI,39,267250,HD현대,"222,760"
KOSPI,40,017670,SK텔레콤,"220,804"
KOSPI,41,003670,포스코퓨처엠,"216,139"
KOSPI,42,096770,SK이노베이션,"209,118"
KOSPI,43,272210,한화시스템,"206,678"
KOSPI,44,011070,LG이노텍,"204,484"
KOSPI,45,079550,LIG디펜스앤에어로스페이스,"203,500"
KOSPI,46,033780,케이티앤지,"195,164"
KOSPI,47,011200,HMM,"193,364"
KOSPI,48,035720,카카오,"184,848"
KOSPI,49,003550,LG,"182,753"
KOSPI,50,138040,메리츠금융지주,"182,743"
KOSPI,51,086280,현대글로비스,"177,375"
KOSPI,52,307950,현대오토에버,"173,045"
KOSPI,53,006260,LS,"169,728"
KOSPI,54,024110,기업은행,"167,459"
KOSPI,55,000720,현대건설,"167,368"
KOSPI,56,047810,한국항공우주,"164,148"
KOSPI,57,018260,삼성에스디에스,"150,655"
KOSPI,58,278470,에이피알,"146,383"
KOSPI,59,071050,한국금융지주,"141,823"
KOSPI,60,030200,케이티,"140,628"
KOSPI,61,259960,크래프톤,"125,019"
KOSPI,62,047050,포스코인터내셔널,"123,674"
KOSPI,63,010950,S-Oil,"122,715"
KOSPI,64,047040,대우건설,"117,314"
KOSPI,65,005940,NH투자증권,"117,059"
KOSPI,66,016360,삼성증권,"116,001"
KOSPI,67,443060,HD현대마린솔루션,"110,066"
KOSPI,68,323410,카카오뱅크,"108,783"
KOSPI,69,001440,대한전선,"107,404"
KOSPI,70,039490,키움증권,"106,749"
KOSPI,71,028050,삼성E&A,"104,664"
KOSPI,72,352820,하이브,"101,290"
KOSPI,73,005830,DB손해보험,"101,198"
KOSPI,74,000880,한화,"99,064"
KOSPI,75,003230,삼양식품,"99,059"
KOSPI,76,003490,대한항공,"98,683"
KOSPI,77,007660,이수페타시스,"92,569"
KOSPI,78,062040,산일전기,"86,490"
KOSPI,79,064400,LG씨엔에스,"80,609"
KOSPI,80,267270,HD건설기계,"79,550"
KOSPI,81,000990,DB하이텍,"78,787"
KOSPI,82,180640,한진칼,"78,579"
KOSPI,83,161390,한국타이어앤테크놀로지,"78,413"
KOSPI,84,326030,에스케이바이오팜,"76,590"
KOSPI,85,034220,LG디스플레이,"75,750"
KOSPI,86,353200,대덕전자,"74,768"
KOSPI,87,009830,한화솔루션,"73,398"
KOSPI,88,078930,GS,"71,452"
KOSPI,89,000100,유한양행,"70,329"
KOSPI,90,090430,아모레퍼시픽,"70,191"
KOSPI,91,454910,두산로보틱스,"69,098"
KOSPI,92,000500,가온전선,"68,488"
KOSPI,93,032640,LG유플러스,"67,741"
KOSPI,94,377300,카카오페이,"67,628"
KOSPI,95,021240,코웨이,"66,663"
KOSPI,96,241560,두산밥캣,"65,949"
KOSPI,97,336260,두산퓨얼셀,"64,315"
KOSPI,98,066970,엘앤에프,"64,284"
KOSPI,99,082740,한화엔진,"62,418"
KOSPI,100,036570,NC,"59,462"
KOSPI,101,010060,OCI홀딩스,"58,718"
KOSPI,102,128940,한미약품,"58,162"
KOSPI,103,052690,한전기술,"55,992"
KOSPI,104,029780,삼성카드,"55,844"
KOSPI,105,004020,현대제철,"55,447"
KOSPI,106,138930,BNK금융지주,"54,214"
KOSPI,107,271560,오리온,"54,125"
KOSPI,108,011790,SKC,"53,811"
KOSPI,109,088980,맥쿼리인프라,"53,496"
KOSPI,110,018880,한온시스템,"51,826"
KOSPI,111,103590,일진전기,"51,643"
KOSPI,112,001040,CJ,"51,031"
KOSPI,113,004170,신세계,"50,532"
KOSPI,114,022100,포스코DX,"49,867"
KOSPI,115,088350,한화생명,"48,638"
KOSPI,116,450080,에코프로머티,"48,433"
KOSPI,117,175330,JB금융지주,"47,346"
KOSPI,118,023530,롯데쇼핑,"46,224"
KOSPI,119,002380,케이씨씨,"46,144"
KOSPI,120,051900,LG생활건강,"40,140"
KOSPI,121,111770,영원무역,"38,152"
KOSPI,122,012510,더존비즈온,"37,774"
KOSPI,123,004800,효성,"36,996"
KOSPI,124,489790,한화비전,"36,150"
KOSPI,125,011780,금호석유화학,"35,648"
KOSPI,126,251270,넷마블,"35,560"
KOSPI,127,011170,롯데케미칼,"35,461"
KOSPI,128,005850,에스엘,"35,208"
KOSPI,129,036460,한국가스공사,"34,756"
KOSPI,130,014680,한솔케미칼,"33,826"
KOSPI,131,035250,강원랜드,"33,503"
KOSPI,132,017800,현대엘리베이터,"32,955"
KOSPI,133,001450,현대해상,"32,948"
KOSPI,134,302440,SK바이오사이언스,"32,756"
KOSPI,135,097950,CJ제일제당,"32,366"
KOSPI,136,028670,팬오션,"31,967"
KOSPI,137,031210,서울보증보험,"31,839"
KOSPI,138,375500,DL이앤씨,"31,806"
KOSPI,139,020150,롯데에너지머티리얼즈,"31,472"
KOSPI,140,457190,이수스페셜티케미컬,"30,974"
KOSPI,141,001720,신영증권,"30,430"
KOSPI,142,139130,iM금융지주,"30,390"
KOSPI,143,383220,F&F,"29,880"
KOSPI,144,009420,한올바이오파마,"29,777"
KOSPI,145,204320,HL만도,"29,583"
KOSPI,146,006360,GS건설,"27,514"
KOSPI,147,071970,HD현대마린엔진,"27,442"
KOSPI,148,009970,영원무역홀딩스,"27,268"
KOSPI,149,483650,달바글로벌,"27,203"
KOSPI,150,004990,롯데지주,"27,059"
KOSPI,151,007340,DN오토모티브,"26,974"
KOSPI,152,012750,에스원,"26,865"
KOSPI,153,439260,대한조선,"26,738"
KOSPI,154,026960,동서,"26,072"
