market,rank,ticker,company,rcept_dt,rcept_no,report_nm,category,plan_title,implementation_sections_count,embedded_results_count,implementation_tag_counts
KOSPI,1,005930,삼성전자,20260319,20260319801333,기업가치제고계획(자율공시)              ,plan,2026년 삼성전자 기업가치 제고 계획,1,0,"{""future_plan"": 1}"
KOSPI,2,000660,SK하이닉스,20251127,20251127800876,기업가치제고계획(자율공시)              (2025년 이행현황),progress,SK하이닉스 2025 기업가치 제고(Value-up) 이행 현황,1,0,"{""implementation_status"": 1}"
KOSPI,2,000660,SK하이닉스,20241127,20241127800702,기업가치제고계획(자율공시)              ,plan,2024년 SK하이닉스 기업가치 제고 계획,0,0,{}
KOSPI,3,402340,SK스퀘어,20251124,20251124800241,기업가치제고계획(자율공시)              (2025년),plan,2025년 SK스퀘어 기업가치 제고 계획,1,0,"{""implementation_status"": 1}"
KOSPI,3,402340,SK스퀘어,20241121,20241121800280,기업가치제고계획(자율공시)              ,plan,2024 SK스퀘어 기업가치 제고 계획,0,0,{}
KOSPI,3,402340,SK스퀘어,20241030,20241030800591,기업가치제고계획예고(안내공시)              ,pre_announcement,,0,0,{}
KOSPI,4,005380,현대자동차,20260529,20260529802007,기업가치제고계획(자율공시)              (2025년 이행현황),progress,2025년 현대자동차㈜ 기업가치 제고 계획 이행현황,3,0,"{""implementation_status"": 2, ""meta_reference"": 1}"
KOSPI,4,005380,현대자동차,20240828,20240828800218,기업가치제고계획(자율공시)              ,plan,2024 현대자동차 Value-up Program,1,0,"{""meta_reference"": 1}"
KOSPI,5,009150,삼성전기,20260319,20260319801372,기업가치제고계획(자율공시)              ,plan,2026년 삼성전기(주) 기업가치 제고 계획,1,0,"{""future_plan"": 1}"
KOSPI,6,373220,LG에너지솔루션,20251128,20251128800104,기업가치제고계획(자율공시)              (2025년 이행현황),progress,2025년 LG에너지솔루션 기업가치 제고 계획 이행현황,1,0,"{""implementation_status"": 1}"
KOSPI,6,373220,LG에너지솔루션,20241122,20241122800052,기업가치제고계획(자율공시)              ,plan,LG에너지솔루션 기업가치 제고 계획,1,0,"{""implementation_status"": 1}"
KOSPI,7,032830,삼성생명,20260319,20260319801509,기업가치제고계획(자율공시)              ,plan,2026년 삼성생명 기업가치 제고 계획,2,0,"{""future_plan"": 2}"
KOSPI,9,329180,HD현대중공업,20260401,20260401800278,기업가치제고계획(자율공시)              ,progress,2026 HD현대중공업 기업가치 제고 계획 이행현황,1,0,"{""meta_reference"": 1}"
KOSPI,9,329180,HD현대중공업,20241213,20241213801737,기업가치제고계획(자율공시)              ,plan,2024 HD현대중공업 기업가치 제고 계획,2,0,"{""future_plan"": 2}"
KOSPI,12,012450,한화에어로스페이스,20260324,20260324801671,기업가치제고계획(자율공시)              ,plan,2026 한화에어로스페이스(주) 기업가치 제고 계획,0,0,{}
KOSPI,12,012450,한화에어로스페이스,20250604,20250604800245,기업가치제고계획(자율공시)              ,plan,2025 한화에어로스페이스(주) 기업가치 제고 계획,1,0,"{""meta_reference"": 1}"
KOSPI,12,012450,한화에어로스페이스,20250502,20250502800335,기업가치제고계획예고(안내공시)              ,pre_announcement,,0,0,{}
KOSPI,13,000270,기아,20260430,20260430801156,기업가치제고계획(자율공시)              (이행현황),progress,2026 기아 기업가치 제고계획 이행현황,1,0,"{""future_plan"": 1}"
KOSPI,13,000270,기아,20241203,20241203800201,기업가치제고계획(자율공시)              ,plan,2024 기아 중장기 기업가치 제고 계획(밸류업 프로그램),1,0,"{""meta_reference"": 1}"
KOSPI,13,000270,기아,20240904,20240904800174,기업가치제고계획예고(안내공시)              ,pre_announcement,,0,0,{}
KOSPI,14,105560,KB금융,20260327,20260327802428,기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),meta_amendment,2026년 KB금융 기업가치 제고 계획(고배당기업 여부),1,0,"{""meta_reference"": 1}"
KOSPI,14,105560,KB금융,20250425,20250425800790,[기재정정]기업가치제고계획(자율공시)              (이행현황),progress,KB금융그룹 Value-up 이행 현황,0,0,{}
KOSPI,14,105560,KB금융,20250424,20250424800498,기업가치제고계획(자율공시)              ,progress,KB금융그룹 Value-up 이행 현황,0,0,{}
KOSPI,14,105560,KB금융,20241024,20241024800258,기업가치제고계획(자율공시)              ,plan,2024년 KB금융그룹의 지속가능한 Value-up 방안,6,0,"{""future_plan"": 2, ""implementation_status"": 4}"
KOSPI,14,105560,KB금융,20240527,20240527800159,기업가치제고계획예고(안내공시)              ,pre_announcement,,0,0,{}
KOSPI,15,012330,현대모비스,20250827,20250827800227,기업가치제고계획(자율공시)              (2025년 이행현황),progress,2025 현대모비스 기업가치 제고계획 이행현황,1,0,"{""implementation_status"": 1}"
KOSPI,15,012330,현대모비스,20241119,20241119800221,기업가치제고계획(자율공시)              ,plan,2024 현대모비스 기업가치 제고계획,1,0,"{""meta_reference"": 1}"
KOSPI,15,012330,현대모비스,20240904,20240904800337,기업가치제고계획예고(안내공시)              ,pre_announcement,,0,0,{}
KOSPI,17,055550,신한지주,20260423,20260423800235,기업가치제고계획(자율공시)              (2026년),plan,2026년 ㈜신한금융지주회사 기업가치 제고 계획,1,0,"{""future_plan"": 1}"
KOSPI,17,055550,신한지주,20260326,20260326803139,기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),meta_amendment,(고배당기업 해당) 2025년 (주)신한금융지주 기업가치 제고 계획,1,0,"{""meta_reference"": 1}"
KOSPI,17,055550,신한지주,20250425,20250425800271,기업가치제고계획(자율공시)              ,plan,2025년 (주)신한금융지주 기업가치 제고 계획,1,0,"{""implementation_status"": 1}"
KOSPI,17,055550,신한지주,20240726,20240726800197,기업가치제고계획(자율공시)              ,plan,2024년 (주)신한금융지주 기업가치 제고 계획,0,0,{}
KOSPI,18,034730,SK,20260327,20260327802307,기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),meta_amendment,2024 SK Inc. 기업가치 제고 계획,0,0,{}
KOSPI,18,034730,SK,20241028,20241028800593,기업가치제고계획(자율공시)              ,plan,2024 SK Inc. 기업가치 제고 계획,0,0,{}
KOSPI,19,068270,셀트리온,20260324,20260324800435,기업가치제고계획(자율공시)              ,plan,셀트리온 기업가치 제고 계획(Value-up Program),1,0,"{""future_plan"": 1}"
KOSPI,19,068270,셀트리온,20250318,20250318800047,기업가치제고계획(자율공시)              ,plan,셀트리온 기업가치 제고 계획(Value-up Program),1,0,"{""future_plan"": 1}"
KOSPI,20,267260,HD현대일렉트릭,20260325,20260325800992,기업가치제고계획(자율공시)              (2026년),progress,2026 HD현대일렉트릭 기업가치 제고 계획 이행현황,1,0,"{""meta_reference"": 1}"
KOSPI,20,267260,HD현대일렉트릭,20241217,20241217800369,기업가치제고계획(자율공시)              ,plan,HD현대일렉트릭 기업가치 제고 계획,2,0,"{""implementation_status"": 1, ""meta_reference"": 1}"
KOSPI,22,066570,LG전자,20260331,20260331802750,[기재정정]기업가치제고계획(자율공시)              (2025년 재공시),progress,2025년 LG전자 기업가치 제고 계획 이행현황,3,0,"{""implementation_status"": 3}"
KOSPI,22,066570,LG전자,20260324,20260324800488,기업가치제고계획(자율공시)              (2025년 재공시),progress,2025년 LG전자 기업가치 제고 계획 이행현황,3,0,"{""implementation_status"": 3}"
KOSPI,22,066570,LG전자,20251128,20251128800080,기업가치제고계획(자율공시)              (2025년 이행현황),progress,2025년 LG전자 기업가치 제고 계획 이행현황,3,0,"{""implementation_status"": 3}"
KOSPI,22,066570,LG전자,20241217,20241217800582,기업가치제고계획(자율공시)              (2024년 2차),plan,LG전자 기업가치 제고 계획(2024년 2차),0,0,{}
KOSPI,22,066570,LG전자,20241022,20241022800424,기업가치제고계획(자율공시)              ,plan,LG전자 기업가치 제고 계획,1,0,"{""implementation_outlook"": 1}"
KOSPI,22,066570,LG전자,20240821,20240821800072,기업가치제고계획예고(안내공시)              ,pre_announcement,,0,0,{}
KOSPI,23,006800,미래에셋증권,20250626,20250626800694,기업가치제고계획(자율공시)              (2025년 이행현황),progress,2025년 미래에셋증권(주) 기업가치 제고 계획 이행현황,4,0,"{""future_plan"": 2, ""implementation_status"": 2}"
KOSPI,23,006800,미래에셋증권,20240822,20240822800223,기업가치제고계획(자율공시)              ,plan,2024 미래에셋증권(주) 기업가치 제고 계획,1,0,"{""future_plan"": 1}"
KOSPI,26,005490,POSCO홀딩스,20260325,20260325800951,기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),meta_amendment,2024년 포스코홀딩스 기업가치 제고 계획,0,0,{}
KOSPI,26,005490,POSCO홀딩스,20241223,20241223800088,기업가치제고계획(자율공시)              ,plan,2024년 포스코홀딩스 기업가치 제고 계획,0,0,{}
KOSPI,26,005490,POSCO홀딩스,20240829,20240829800425,기업가치제고계획예고(안내공시)              ,pre_announcement,,0,0,{}
KOSPI,27,086790,하나금융지주,20260331,20260331801627,[기재정정]기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),meta_amendment,2025년 (주)하나금융지주 기업가치 제고 계획 이행 현황,0,0,{}
KOSPI,27,086790,하나금융지주,20260325,20260325800940,기업가치제고계획(자율공시)              (2025년 이행현황),progress,2025년 (주)하나금융지주 기업가치 제고 계획 이행 현황,0,0,{}
