market,rank,ticker,company,meta_rcept_dt,meta_rcept_no,meta_report_nm,meta_plan_title,progress_rcept_dt,progress_rcept_no,progress_plan_title,plan_rcept_dt,plan_rcept_no,progress_similarity,plan_similarity,relation,meta_tags,progress_tags,plan_tags
KOSPI,14,105560,KB금융,20260327,20260327802428,기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),2026년 KB금융 기업가치 제고 계획(고배당기업 여부),20250425,20250425800790,KB금융그룹 Value-up 이행 현황,20241024,20241024800258,0.1041,0.4643,meta_reference_only,{'meta_reference': 1},{},"{'future_plan': 2, 'implementation_status': 4}"
KOSPI,17,055550,신한지주,20260326,20260326803139,기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),(고배당기업 해당) 2025년 (주)신한금융지주 기업가치 제고 계획,,,,20250425,20250425800271,0.0,0.0141,meta_reference_only,{'meta_reference': 1},{},{'implementation_status': 1}
KOSPI,18,034730,SK,20260327,20260327802307,기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),2024 SK Inc. 기업가치 제고 계획,,,,20241028,20241028800593,0.0,1.0,meta_without_progress_compare_to_plan,{},{},{}
KOSPI,26,005490,POSCO홀딩스,20260325,20260325800951,기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),2024년 포스코홀딩스 기업가치 제고 계획,,,,20241223,20241223800088,0.0,0.99,meta_without_progress_compare_to_plan,{},{},{}
KOSPI,27,086790,하나금융지주,20260331,20260331801627,[기재정정]기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),2025년 (주)하나금융지주 기업가치 제고 계획 이행 현황,20260325,20260325800940,2025년 (주)하나금융지주 기업가치 제고 계획 이행 현황,20241029,20241029800202,1.0,0.1667,meta_duplicates_progress,{},{},{'implementation_status': 1}
KOSPI,36,051910,LG화학,20260401,20260401800638,기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),2025년 LG화학 기업가치 제고 계획 (이행현황),20251128,20251128800085,2025년 LG화학 기업가치 제고 계획 이행현황,20241122,20241122800086,1.0,0.1298,meta_duplicates_progress,"{'future_plan': 3, 'implementation_status': 1}","{'future_plan': 3, 'implementation_status': 1}",{'future_plan': 1}
KOSPI,37,316140,우리금융지주,20260323,20260323801851,기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),(고배당기업 해당) 2026년 우리금융그룹 기업가치 제고계획,20250207,20250207800740,2024년 우리금융그룹 기업가치 제고계획 이행현황,20260206,20260206801698,0.359,0.25,meta_reference_only,{'meta_reference': 1},{'implementation_status': 1},{'implementation_status': 1}
KOSPI,43,272210,한화시스템,20260420,20260420800137,기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),2026년 한화시스템(주) 기업가치 제고 계획,,,,20250626,20250626800212,0.0,0.9212,meta_without_progress_compare_to_plan,{},{},{'meta_reference': 1}
KOSPI,46,033780,케이티앤지,20260327,20260327800467,기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),2025년 KT G 기업가치 제고계획 이행현황,20250923,20250923800350,2025년 KT G 기업가치 제고계획 이행현황,20241107,20241107800360,0.2182,0.0874,meta_embedded_result,"{'meta_reference': 2, 'implementation_result': 1}","{'implementation_status': 3, 'implementation_outlook': 2, 'future_plan': 1}",{'meta_reference': 1}
KOSPI,49,003550,LG,20260326,20260326803162,기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),㈜LG 기업가치 제고 계획 ('25년 이행현황),20251128,20251128800073,㈜LG 기업가치 제고 계획 ('25년 이행현황),20241122,20241122800186,1.0,0.1558,meta_duplicates_progress,{'implementation_outlook': 1},{'implementation_outlook': 1},{}
KOSPI,68,323410,카카오뱅크,20260327,20260327800287,기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),(고배당기업 해당) 2025년 (주)카카오뱅크 기업가치 제고 계획 이행 현황,20251105,20251105800010,2025년 (주)카카오뱅크 기업가치 제고 계획 이행 현황,20241126,20241126800027,0.8858,0.1643,meta_duplicates_progress,{'meta_reference': 1},{},{'future_plan': 1}
KOSPI,70,039490,키움증권,20260326,20260326803412,기업가치제고계획(자율공시)              ((고배당기업 표시를 위한 재공시)),2024년 키움증권(주) 기업가치 제고 계획(자율공시) (고배당기업 표시를 위한 재공시),20250326,20250326802345,2024년 키움증권(주) 기업가치 제고 계획 이행현황,20240528,20240528800399,0.4976,0.1986,meta_partially_overlaps_progress,{'implementation_status': 1},{'implementation_status': 1},{}
