ticker,company,hit_count
010130,고려아연,18
006740,블루산업개발,16
009190,대양금속,15
001080,만호제강,15
015590,DKME,10
069460,대호에이엘,10
024720,콜마홀딩스,9
005110,한창,7
002210,동성제약,6
071950,코아스,6
003240,태광산업,6
008930,한미사이언스,4
011000,진원생명과학,4
145210,다이나믹디자인,3
001530,디아이동일,3
030610,교보증권,2
000990,DB하이텍,2
003920,남양유업,2
030210,다올투자증권,2
109070,주성코퍼레이션,2
023350,한국종합기술,2
000670,영풍,2
023960,에쓰씨엔지니어링,1
267270,HD건설기계,1
005940,NH투자증권,1
071050,한국금융지주,1
175330,JB금융지주,1
033780,케이티앤지,1
020560,아시아나항공,1
001070,대한방직,1
097230,HJ중공업,1
128940,한미약품,1
011930,신성이엔지,1
001500,현대차증권,1
204210,JK리버스톤리츠,1
017040,광명전기,1
123890,한국자산신탁,1
068270,셀트리온,1
064350,현대로템,1
016360,삼성증권,1
002780,진흥기업,1
