isu_cd,effective_date,factor,event_type,source,evidence,price_check,confidence,note
000040,20180112,0.636121085794149,reduction,v1+ledger,20171013000509,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
000050,20161028,10,split,v1+ledger,20160727800321,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
000100,20161229,1.04602984825169,bonus,disclosure,20161214000116,pass,confirmed,"신주 513,350 = 공시 bonus | 주식수반영일 20170123"
000100,20171228,1.04658519157037,bonus,disclosure,20171213000061,pass,confirmed,"신주 543,458 = 공시 bonus | 주식수반영일 20180122"
000100,20181228,1.04650213270907,bonus,disclosure,20181212000350,pass,confirmed,"신주 567,761 = 공시 bonus | 주식수반영일 20190122"
000100,20191230,1.04650869934254,bonus,disclosure,20191210000159,pass,confirmed,"신주 594,247 = 공시 bonus | 주식수반영일 20200122"
000100,20200408,5,split,v1+ledger,20200227800582,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
000100,20201230,1.04660929828988,bonus,disclosure,20201211000171,pass,confirmed,"신주 3,116,149 = 공시 bonus | 주식수반영일 20210122"
000100,20211230,1.04656823216523,bonus,disclosure,20211206000320,pass,confirmed,"신주 3,258,517 = 공시 bonus | 주식수반영일 20220121"
000100,20221229,1.04652618226622,bonus,disclosure,20221122000074,pass,confirmed,"신주 3,407,181 = 공시 bonus | 주식수반영일 20230120"
000100,20231228,1.04658754654325,bonus,disclosure,20231124000264,pass,confirmed,"신주 3,570,407 = 공시 bonus | 주식수반영일 20240119"
000105,20200408,5,split,v1+ledger,20200227800582,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
000180,20160511,10,split,v1+ledger,20160302800162,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
000180,20260427,0.2,merge,v1+ledger,20260311801627,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
000220,20210330,1.92824750751284,bonus,disclosure,20210316000043,warn,confirmed,"신주 7,458,698 = 공시 bonus | 주식수반영일 20210421"
000230,20200305,1.04888059508187,bonus,disclosure,20200214001066,pass,confirmed,"신주 537,813 = 공시 bonus | 주식수반영일 20200325"
000300,20260114,0.5,reduction,v1+ledger,20251031000105,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
000480,20230413,10,split,v1+ledger,20230324800161,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
000520,20210412,2.00314717360807,split,v1+ledger,20210409800722,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
