bas_dd,n_stocks
20160104,2041
20160105,2041
20160106,2041
20160107,2041
20160108,2041
20160111,2041
20160112,2041
20160113,2041
20160114,2041
20160115,2041
20160118,2041
20160119,2041
20160120,2041
20160121,2039
20160122,2039
20160125,2038
20160126,2038
20160127,2039
20160128,2040
20160129,2040
20160201,2040
20160202,2041
20160203,2042
20160204,2043
20160205,2044
20160208,0
20160209,0
20160210,0
20160211,2044
20160212,2044
20160215,2045
20160216,2045
20160217,2045
20160218,2045
20160219,2045
20160222,2045
20160223,2045
20160224,2045
20160225,2045
20160226,2045
20160229,2047
20160301,0
20160302,2048
20160303,2048
20160304,2050
20160307,2050
20160308,2050
20160309,2050
20160310,2050
20160311,2051
20160314,2051
20160315,2050
20160316,2050
20160317,2050
20160318,2050
20160321,2050
20160322,2050
20160323,2050
20160324,2050
20160325,2050
20160328,2050
20160329,2050
20160330,2051
20160331,2051
20160401,2051
20160404,2051
20160405,2051
20160406,2052
20160407,2053
20160408,2053
20160411,2054
20160412,2053
20160413,0
20160414,2053
20160415,2052
20160418,2052
20160419,2052
20160420,2052
20160421,2051
20160422,2051
20160425,2051
20160426,2051
20160427,2051
20160428,2050
20160429,2050
20160502,2051
20160503,2051
20160504,2051
20160505,0
20160506,0
20160509,2049
20160510,2049
20160511,2050
20160512,2050
20160513,2050
20160516,2050
20160517,2049
20160518,2049
20160519,2048
20160520,2048
20160523,2048
20160524,2048
20160525,2048
20160526,2048
20160527,2049
20160530,2049
20160531,2049
20160601,2049
20160602,2049
20160603,2050
20160606,0
20160607,2050
20160608,2050
20160609,2051
20160610,2051
20160613,2050
20160614,2050
20160615,2050
20160616,2050
20160617,2050
20160620,2050
20160621,2050
20160622,2052
20160623,2054
20160624,2055
20160627,2055
20160628,2055
20160629,2055
20160630,2056
20160701,2056
20160704,2057
20160705,2057
20160706,2057
20160707,2058
20160708,2058
20160711,2058
20160712,2058
20160713,2059
20160714,2060
20160715,2061
20160718,2061
20160719,2061
20160720,2062
20160721,2062
20160722,2062
20160725,2061
20160726,2061
20160727,2062
20160728,2063
20160729,2064
20160801,2065
20160802,2065
20160803,2065
20160804,2065
20160805,2065
20160808,2066
20160809,2067
20160810,2067
20160811,2066
20160812,2066
20160815,0
20160816,2066
20160817,2066
20160818,2066
20160819,2066
20160822,2066
20160823,2066
20160824,2066
20160825,2066
20160826,2066
20160829,2066
20160830,2066
20160831,2067
20160901,2067
20160902,2067
20160905,2066
20160906,2067
20160907,2068
20160908,2068
20160909,2068
20160912,2068
20160913,2068
20160914,0
20160915,0
20160916,0
20160919,2067
20160920,2068
20160921,2068
20160922,2070
20160923,2070
20160926,2070
20160927,2070
20160928,2070
20160929,2071
20160930,2071
20161003,0
20161004,2072
20161005,2072
20161006,2072
20161007,2072
20161010,2073
